name,score,freq
Javed Ahmadi,1.0,1.0
Usman Ghani,0.0,1.0
Nawroz Mangal,27.0,1.0
Asghar Afghan,9.0,1.0
Samiullah Shinwari,54.0,1.0
Mohammad Nabi,6.0,1.0
Afsar Zazai,0.0,1.0
Najibullah Zadran,56.0,1.0
Dawlat Zadran,1.0,1.0
Hamid Hassan,16.0,1.0
Shapoor Zadran,2.0,1.0
MJ Guptill,57.0,1.0
BB McCullum,42.0,1.0
KS Williamson,33.0,1.0
LRPL Taylor,24.0,1.0
GD Elliott,19.0,1.0
CJ Anderson,7.0,1.0
L Ronchi,0.0,0.0
DL Vettori,0.0,0.0
AF Milne,0.0,0.0
TG Southee,0.0,0.0
TA Boult,0.0,0.0
