name,score,freq
Mohammad Shahzad,41.0,2.0
Ihsanullah,45.0,1
Rahmat Shah,72.0,1
Asghar Afghan,82.0,3.0
Hashmatullah Shahidi,37.0,1
Mohammad Nabi,73.0,3.0
Najibullah Zadran,33.0,3.0
Gulbadin Naib,4.0,1
Rashid Khan,13.0,1
Aftab Alam,7.0,1
Mujeeb Ur Rahman,0.0,1
BKG Mendis,0.0,1
WU Tharanga,36.0,1
DM de Silva,23.0,1
MDKJ Perera,50.0,2.0
AD Mathews,111.0,3.0
GSNFG Jayasuriya,14.0,1
NLTC Perera,94.0,3.0
MD Shanaka,0.0,1
A Dananjaya,2.0,1
SL Malinga,1.0,1.0
PVD Chameera,2.0,1
Javed Ahmadi,24.0,1.0
Nawroz Mangal,14.0,2.0
Samiullah Shinwari,44.0,2.0
Afsar Zazai,19.0,1.0
Mirwais Ashraf,29.0,2.0
Dawlat Zadran,4.0,2.0
Hamid Hassan,0.0,1.0
Shapoor Zadran,1.0,2.0
HDRL Thirimanne,5.0,2.0
TM Dilshan,0.0,1.0
KC Sangakkara,83.0,2.0
FDM Karunaratne,23.0,1.0
DPMD Jayawardene,114.0,2.0
BMAJ Mendis,9.0,1.0
LD Chandimal,26.0,1.0
PC de Silva,17.0,1.0
Noor Ali Zadran,21.0,1.0
Amir Hamza,1.0,1.0
BAW Mendis,0.0,0.0
RAS Lakmal,0.0,0.0
