name,score,freq
SD Hope,346.0,7.0
E Lewis,227.0,7.0
SO Hetmyer,129.0,5.0
RL Chase,112.0,4.0
N Pooran,133.0,3.0
KA Pollard,3.0,1
JO Holder,93.0,6.0
R Shepherd,6.0,1
AS Joseph,28.0,2.0
HR Walsh,4.0,1
Hazratullah Zazai,32.0,2.0
Javed Ahmadi,96.0,5.0
Rahmat Shah,293.0,7.0
Ikram Alikhil,163.0,3.0
Asghar Afghan,91.0,5.0
Najibullah Zadran,106.0,4.0
Mohammad Nabi,133.0,7.0
Rashid Khan,31.0,5.0
Sharafuddin Ashraf,20.0,2.0
Mujeeb Ur Rahman,7.0,3.0
Naveen-ul-Haq,9.0,2.0
Gulbadin Naib,138.0,6.0
CH Gayle,18.0,3.0
CR Brathwaite,32.0,3.0
FA Allen,0.0,1.0
Samiullah Shinwari,77.0,5.0
Dawlat Zadran,10.0,2.0
Sayed Shirzad,25.0,1.0
MN Samuels,53.0,2.0
R Powell,64.0,3.0
AR Nurse,48.0,3.0
KMA Paul,16.0,2.0
KAJ Roach,0.0,1.0
Mohammad Shahzad,92.0,2.0
Noor Ali Zadran,13.0,2.0
Afsar Zazai,22.0,2.0
Amir Hamza,0.0,1.0
KOA Powell,14.0,2.0
JL Carter,21.0,2.0
JN Mohammed,9.0,2.0
ML Cummins,5.0,1.0
ST Gabriel,2.0,1.0
