name,score,freq
DA Warner,202.0,2.0
AJ Finch,4.0,1
SPD Smith,95.0,1
GJ Maxwell,90.0,2.0
JP Faulkner,7.0,1
MR Marsh,8.0,1
BJ Haddin,20.0,1
Javed Ahmadi,13.0,2.0
Usman Ghani,12.0,1
Nawroz Mangal,33.0,2.0
Asghar Afghan,70.0,2.0
Samiullah Shinwari,31.0,2.0
Mohammad Nabi,48.0,2.0
Najibullah Zadran,24.0,2.0
Afsar Zazai,10.0,1
Dawlat Zadran,8.0,2.0
Hamid Hassan,7.0,1
Shapoor Zadran,1.0,2.0
MS Wade,75.0,1.0
MJ Clarke,75.0,1.0
MEK Hussey,49.0,1.0
DJ Hussey,13.0,1.0
GJ Bailey,23.0,1.0
MG Johnson,1.0,1.0
JL Pattinson,1.0,1.0
MA Starc,1.0,1.0
Karim Sadiq,17.0,1.0
Mohammad Shahzad,11.0,1.0
Gulbadin Naib,22.0,1.0
XJ Doherty,0.0,0.0
