Player,Score,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0
AT Carey,38.89100603187617,2018-2020,35,31,6,883,85,35.32,967,91.31,0,4,2
A Zampa,17.94680341880342,2016-2020,54,24,7,117,22,6.88,179,65.36,0,0,3
AC Agar,35.623352131628735,2015-2020,13,11,2,189,46,21.00,212,89.15,0,0,2
KW Richardson,32.55978390100279,2013-2020,25,12,7,75,24,15.00,68,110.29,0,0,2
AJ Finch,49.215103916227065,2013-2020,125,121,3,4822,153,40.86,5428,88.83,16,25,11
PJ Cummins,23.13486672120639,2011-2020,63,39,12,246,36,9.11,344,71.51,0,0,7
MR Marsh,44.296882675734864,2011-2020,56,52,9,1512,102,35.16,1639,92.25,1,11,4
MA Starc,26.39551001581218,2010-2020,90,50,18,362,52,11.31,420,86.19,0,1,8
JR Hazlewood,15.230585130068224,2010-2020,47,15,12,39,11,13.00,63,61.90,0,0,1
SPD Smith,44.97516557928903,2010-2020,124,109,12,4148,164,42.76,4785,86.68,9,25,5
DA Warner,52.72993811083943,2009-2020,122,120,6,5200,179,45.61,5412,96.08,18,20,2
