name,score,freq
SR Watson,350.0,5.0
RT Ponting,118.0,3.0
MJ Clarke,188.0,5.0
SPD Smith,6.0,2.0
MEK Hussey,291.0,5.0
CJ Ferguson,3.0,1
MG Johnson,67.0,3.0
TD Paine,7.0,1
JW Hastings,21.0,2.0
XJ Doherty,2.0,1
Tamim Iqbal,186.0,7.0
Imrul Kayes,102.0,3.0
Shahriar Nafees,117.0,4.0
Mahmudullah,135.0,4.0
Shakib Al Hasan,147.0,7.0
Mushfiqur Rahim,128.0,4.0
Alok Kapali,27.0,4.0
Sohrawordi Shuvo,19.0,2.0
Raqibul Hasan,21.0,3.0
Shafiul Islam,9.0,1.0
BJ Haddin,37.0,4.0
CL White,51.0,3.0
SE Marsh,175.0,3.0
DJ Hussey,35.0,2.0
Junaid Siddique,21.0,2.0
Mohammad Ashraful,17.0,4.0
Dhiman Ghosh,32.0,3.0
Farhad Reza,0.0,1.0
Abdur Razzak,27.0,3.0
Mashrafe Mortaza,46.0,4.0
Mehrab Hossain jnr,1.0,2.0
Nazmul Hossain,0.0,2.0
JR Hopes,22.0,1.0
B Geeves,0.0,1.0
Aftab Ahmed,11.0,1.0
Habibul Bashar,24.0,1.0
AC Gilchrist,59.0,1.0
ML Hayden,47.0,1.0
A Symonds,0.0,0.0
GB Hogg,0.0,0.0
NW Bracken,0.0,0.0
SW Tait,0.0,0.0
GD McGrath,0.0,0.0
Mohammad Rafique,0.0,0.0
Tapash Baisya,0.0,0.0
