Player,Score,Span,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5
JA Richardson,11.358447488584476,2018-2020,13,13,118.0,11,690,24,4/26,28.75,5.84,29.5,1,0
A Zampa,10.21547619047619,2016-2020,54,54,473.2,5,2651,73,4/43,36.31,5.60,38.9,1,0
AC Agar,4.7971781305114645,2015-2020,13,13,109.0,3,619,10,2/48,61.90,5.67,65.4,0,0
KW Richardson,11.112874779541446,2013-2020,25,25,218.4,11,1240,39,5/68,31.79,5.67,33.6,0,1
AJ Finch,1.7546576265902791,2013-2020,125,21,47.2,0,259,4,1/2,64.75,5.47,71.0,0,0
PJ Cummins,12.838547879010306,2011-2020,63,63,552.3,33,2868,102,5/70,28.11,5.19,32.5,5,1
MR Marsh,9.647590812079471,2011-2020,56,53,298.5,6,1671,44,5/33,37.97,5.59,40.7,1,1
MA Starc,14.569036747118938,2010-2020,90,90,767.4,39,3923,178,6/28,22.03,5.11,25.8,11,7
JR Hazlewood,14.388574817193266,2010-2020,47,46,411.5,27,1966,76,6/52,25.86,4.77,32.5,1,3
SPD Smith,6.152720506553858,2010-2020,124,39,178.2,1,963,28,3/16,34.39,5.40,38.2,0,0
