name,score,freq
AJ Finch,1253.0,25.0
DA Warner,631.0,20.0
UT Khawaja,23.0,1
SPD Smith,779.0,29.0
GJ Maxwell,652.0,18.0
MP Stoinis,309.0,12.0
AT Carey,115.0,4.0
PJ Cummins,30.0,7.0
MA Starc,14.0,11.0
JM Vince,0.0,1
JM Bairstow,542.0,14.0
JE Root,553.0,23.0
EJG Morgan,1814.0,50.0
BA Stokes,474.0,15.0
JC Buttler,926.0,27.0
CR Woakes,281.0,14.0
MM Ali,265.0,19.0
AU Rashid,166.0,12.0
JC Archer,1.0,1
MA Wood,26.0,4.0
TM Head,395.0,10.0
SE Marsh,727.0,17.0
TD Paine,547.0,23.0
DJM Short,83.0,3.0
AC Agar,135.0,6.0
KW Richardson,15.0,3.0
NM Lyon,4.0,2.0
B Stanlake,3.0,3.0
JJ Roy,759.0,16.0
AD Hales,385.0,16.0
SM Curran,15.0,1.0
LE Plunkett,84.0,10.0
JT Ball,1.0,2.0
MG Neser,8.0,2.0
JA Richardson,21.0,3.0
DJ Willey,61.0,6.0
AJ Tye,57.0,7.0
SW Billings,11.0,1.0
TK Curran,46.0,2.0
MR Marsh,408.0,12.0
A Zampa,11.0,2.0
JR Hazlewood,1.0,2.0
CL White,639.0,24.0
MC Henriques,21.0,2.0
MS Wade,302.0,15.0
JWA Taylor,353.0,9.0
RJW Topley,6.0,1.0
JA Burns,77.0,5.0
GJ Bailey,770.0,20.0
JW Hastings,79.0,6.0
JL Pattinson,27.0,4.0
SR Watson,1224.0,34.0
NM Coulter-Nile,46.0,5.0
ST Finn,69.0,8.0
BJ Haddin,361.0,13.0
MG Johnson,208.0,15.0
IR Bell,1105.0,28.0
GS Ballance,142.0,5.0
SCJ Broad,69.0,13.0
JM Anderson,52.0,12.0
JP Faulkner,272.0,10.0
RS Bopara,636.0,25.0
CJ Jordan,47.0,6.0
MJ Clarke,1297.0,33.0
CJ McKay,30.0,8.0
XJ Doherty,7.0,2.0
AN Cook,319.0,10.0
TT Bresnan,420.0,20.0
JC Tredwell,25.0,6.0
DT Christian,23.0,1.0
PJ Hughes,32.0,2.0
AC Voges,149.0,5.0
Fawad Ahmed,4.0,1.0
MA Carberry,97.0,3.0
KP Pietersen,531.0,16.0
LJ Wright,252.0,13.0
WB Rankin,5.0,2.0
IJL Trott,563.0,14.0
PJ Forrest,15.0,3.0
DJ Hussey,357.0,10.0
B Lee,147.0,13.0
BW Hilfenhaus,2.0,2.0
C Kieswetter,94.0,7.0
CJ Ferguson,253.0,8.0
JJ Krejza,6.0,1.0
AJ Strauss,737.0,27.0
SM Davies,47.0,3.0
MJ Prior,250.0,13.0
MH Yardy,203.0,9.0
PD Collingwood,654.0,20.0
DE Bollinger,39.0,3.0
A Shahzad,27.0,5.0
CT Tremlett,17.0,6.0
NM Hauritz,38.0,6.0
SW Tait,12.0,3.0
GP Swann,109.0,10.0
MEK Hussey,389.0,16.0
RT Ponting,789.0,15.0
JR Hopes,139.0,8.0
RJ Harris,1.0,3.0
JL Denly,170.0,5.0
OA Shah,160.0,8.0
G Onions,1.0,1.0
PM Siddle,8.0,1.0
AD Mascarenhas,30.0,2.0
RJ Sidebottom,57.0,6.0
MP Vaughan,31.0,2.0
A Flintoff,174.0,7.0
PA Nixon,42.0,7.0
SI Mahmood,0.0,1.0
MS Panesar,1.0,3.0
AC Gilchrist,143.0,7.0
ML Hayden,256.0,7.0
A Symonds,71.0,3.0
EC Joyce,144.0,5.0
MB Loye,119.0,5.0
JWM Dalrymple,81.0,6.0
BJ Hodge,55.0,4.0
GB Hogg,20.0,2.0
NW Bracken,27.0,3.0
GD McGrath,1.0,2.0
SR Clark,15.0,1.0
J Lewis,10.0,2.0
