name,score,freq
DG Brownlie,63.0,1
TWM Latham,41.0,5.0
KS Williamson,298.0,10.0
LRPL Taylor,909.0,23.0
NT Broom,242.0,10.0
C Munro,85.0,5.0
JDS Neesham,157.0,4.0
MJ Santner,142.0,7.0
TG Southee,68.0,14.0
LH Ferguson,7.0,4.0
TA Boult,23.0,8.0
AJ Finch,96.0,7.0
SE Marsh,58.0,4.0
PSP Handscomb,7.0,2.0
TM Head,204.0,5.0
GJ Maxwell,27.0,6.0
MP Stoinis,188.0,2.0
JP Faulkner,74.0,4.0
PJ Cummins,70.0,4.0
MA Starc,43.0,5.0
A Zampa,5.0,3.0
JR Hazlewood,9.0,4.0
MJ Guptill,667.0,20.0
SD Heazlett,4.0,1.0
DA Warner,513.0,10.0
SPD Smith,337.0,8.0
GJ Bailey,75.0,6.0
MR Marsh,187.0,7.0
MS Wade,119.0,6.0
HM Nicholls,86.0,4.0
BJ Watling,31.0,3.0
C de Grandhomme,29.0,3.0
MJ Henry,39.0,6.0
BB McCullum,753.0,25.0
GD Elliott,405.0,10.0
CJ Anderson,79.0,5.0
L Ronchi,46.0,5.0
DAJ Bracewell,2.0,1.0
AF Milne,55.0,4.0
IS Sodhi,0.0,1.0
UT Khawaja,94.0,2.0
JW Hastings,62.0,3.0
SM Boland,2.0,1.0
KW Richardson,19.0,1.0
DL Vettori,212.0,16.0
MJ Clarke,559.0,16.0
SR Watson,525.0,12.0
BJ Haddin,604.0,15.0
MG Johnson,75.0,8.0
JD Ryder,25.0,1.0
JEC Franklin,102.0,10.0
SB Styris,357.0,12.0
JM How,44.0,3.0
NL McCullum,69.0,2.0
HK Bennett,0.0,1.0
RT Ponting,750.0,17.0
CL White,418.0,16.0
SL Stewart,10.0,2.0
GJ Hopkins,135.0,5.0
DR Tuffey,110.0,5.0
SE Bond,58.0,7.0
AC Voges,68.0,4.0
MEK Hussey,787.0,19.0
JR Hopes,170.0,7.0
NM Hauritz,13.0,2.0
CJ McKay,2.0,1.0
DE Bollinger,1.0,1.0
PJ Ingram,59.0,3.0
MJ Mason,6.0,3.0
RJ Harris,0.0,1.0
AJ Redmond,26.0,1.0
KD Mills,77.0,6.0
IG Butler,6.0,1.0
JS Patel,32.0,7.0
TD Paine,1.0,1.0
PG Fulton,401.0,11.0
CD Cumming,0.0,1.0
DJ Hussey,109.0,4.0
CJ Ferguson,47.0,3.0
NW Bracken,17.0,5.0
BW Hilfenhaus,0.0,1.0
IE O'Brien,0.0,1.0
SW Tait,9.0,1.0
ML Hayden,540.0,10.0
A Symonds,222.0,6.0
B Lee,2.0,2.0
MS Sinclair,16.0,2.0
JDP Oram,150.0,4.0
MR Gillespie,64.0,5.0
L Vincent,271.0,6.0
AC Gilchrist,158.0,6.0
GB Hogg,20.0,2.0
SP Fleming,175.0,8.0
CD McMillan,266.0,6.0
BJ Hodge,230.0,4.0
PA Jaques,4.0,2.0
GD McGrath,5.0,1.0
NJ Astle,0.0,2.0
HJH Marshall,0.0,1.0
SR Clark,2.0,2.0
