name,score,freq
DA Warner,1007.0,23.0
AJ Finch,776.0,22.0
SPD Smith,684.0,19.0
M Labuschagne,149.0,3.0
DJM Short,123.0,4.0
MR Marsh,464.0,17.0
AT Carey,233.0,7.0
AC Agar,9.0,1
PJ Cummins,61.0,10.0
MA Starc,73.0,9.0
A Zampa,63.0,9.0
JN Malan,152.0,3.0
Q de Kock,694.0,22.0
JT Smuts,125.0,2.0
K Verreynne,101.0,3.0
H Klaasen,259.0,6.0
DA Miller,713.0,19.0
T Bavuma,26.0,1.0
AL Phehlukwayo,70.0,5.0
KA Maharaj,2.0,1.0
A Nortje,1.0,1.0
JR Hazlewood,28.0,6.0
AK Markram,121.0,4.0
F du Plessis,1080.0,21.0
HE van der Dussen,95.0,1.0
JP Duminy,697.0,23.0
D Pretorius,32.0,4.0
UT Khawaja,79.0,3.0
MP Stoinis,101.0,4.0
GJ Maxwell,123.0,12.0
JP Behrendorff,11.0,1.0
NM Lyon,33.0,3.0
JA Richardson,24.0,1.0
KW Richardson,0.0,1.0
RR Hendricks,68.0,3.0
CA Lynn,59.0,3.0
SE Marsh,376.0,8.0
TM Head,154.0,8.0
DW Steyn,42.0,10.0
K Rabada,36.0,4.0
L Ngidi,19.0,1.0
Imran Tahir,17.0,3.0
NM Coulter-Nile,45.0,4.0
HM Amla,699.0,22.0
RR Rossouw,401.0,9.0
KJ Abbott,1.0,2.0
GJ Bailey,362.0,14.0
MS Wade,257.0,12.0
JM Mennie,1.0,2.0
CP Tremain,23.0,3.0
SM Boland,7.0,3.0
JW Hastings,78.0,3.0
F Behardien,213.0,10.0
WD Parnell,40.0,6.0
DJ Worrall,6.0,1.0
JP Faulkner,90.0,5.0
AB de Villiers,1069.0,20.0
AM Phangiso,15.0,3.0
T Shamsi,0.0,1.0
R McLaren,38.0,4.0
SR Watson,243.0,8.0
RJ Peterson,11.0,1.0
VD Philander,2.0,3.0
M Morkel,40.0,6.0
MG Johnson,124.0,15.0
MJ Clarke,410.0,13.0
PJ Hughes,151.0,3.0
BJ Haddin,394.0,16.0
GC Smith,296.0,10.0
JH Kallis,566.0,13.0
MV Boucher,178.0,12.0
J Botha,67.0,7.0
RT Ponting,569.0,15.0
MEK Hussey,407.0,14.0
XJ Doherty,10.0,1.0
DE Bollinger,6.0,1.0
LL Tsotsobe,4.0,1.0
CJ Ferguson,182.0,5.0
DJ Hussey,225.0,10.0
JR Hopes,239.0,10.0
NM Hauritz,64.0,5.0
HH Gibbs,459.0,12.0
JA Morkel,157.0,8.0
RE van der Merwe,9.0,2.0
M Ntini,18.0,3.0
NW Bracken,28.0,6.0
SM Harwood,0.0,1.0
B Geeves,10.0,1.0
B Laughlin,1.0,1.0
ND McKenzie,108.0,4.0
VB van Jaarsveld,9.0,2.0
BW Hilfenhaus,7.0,3.0
CL White,52.0,3.0
SW Tait,4.0,2.0
RJ Harris,7.0,1.0
AG Prince,1.0,2.0
JM Kemp,50.0,2.0
AJ Hall,11.0,2.0
SM Pollock,12.0,2.0
A Nel,8.0,1.0
CK Langeveldt,6.0,2.0
AC Gilchrist,43.0,2.0
ML Hayden,142.0,2.0
A Symonds,36.0,2.0
GB Hogg,0.0,0.0
GD McGrath,0.0,0.0
