name,score,freq
DM de Silva,131.0,5.0
MD Gunathilaka,46.0,3.0
BKG Mendis,174.0,5.0
LD Chandimal,649.0,19.0
WU Tharanga,473.0,19.0
MDKJ Perera,140.0,9.0
MD Shanaka,13.0,1
SS Pathirana,56.0,2.0
MDK Perera,61.0,7.0
RAS Lakmal,0.0,2.0
MA Aponso,6.0,5.0
DA Warner,538.0,15.0
MS Wade,374.0,15.0
UT Khawaja,9.0,3.0
GJ Bailey,406.0,10.0
TM Head,130.0,5.0
JP Faulkner,47.0,6.0
JW Hastings,29.0,4.0
WIA Fernando,0.0,1.0
AD Mathews,503.0,19.0
AK Perera,7.0,1.0
NLTC Perera,107.0,12.0
AJ Finch,189.0,7.0
TM Dilshan,860.0,30.0
S Prasanna,14.0,4.0
SE Marsh,104.0,4.0
MA Starc,70.0,7.0
A Zampa,10.0,2.0
SPD Smith,231.0,7.0
MC Henriques,21.0,4.0
NM Lyon,4.0,2.0
TAM Siriwardana,19.0,1.0
MJ Clarke,905.0,20.0
GJ Maxwell,156.0,5.0
SR Watson,445.0,15.0
BJ Haddin,210.0,12.0
MG Johnson,53.0,10.0
XJ Doherty,56.0,11.0
HDRL Thirimanne,290.0,11.0
KC Sangakkara,815.0,23.0
DPMD Jayawardene,819.0,26.0
SMSM Senanayake,16.0,3.0
SL Malinga,91.0,17.0
KMDN Kulasekara,232.0,16.0
HMRKB Herath,32.0,6.0
PJ Hughes,269.0,5.0
AC Voges,49.0,1.0
MR Marsh,4.0,1.0
CJ McKay,102.0,8.0
DJ Hussey,407.0,14.0
BMAJ Mendis,68.0,8.0
BCJ Cutting,27.0,1.0
KW Richardson,0.0,1.0
BAW Mendis,7.0,4.0
MEK Hussey,379.0,18.0
PJ Forrest,125.0,4.0
DT Christian,81.0,7.0
B Lee,105.0,7.0
CK Kapugedera,35.0,4.0
MF Maharoof,63.0,5.0
KTGD Prasad,46.0,2.0
JL Pattinson,12.0,2.0
BW Hilfenhaus,0.0,1.0
RT Ponting,358.0,14.0
RJ Harris,3.0,1.0
LPC Silva,252.0,11.0
RMS Eranga,3.0,3.0
DE Bollinger,4.0,1.0
S Randiv,58.0,3.0
CRD Fernando,3.0,3.0
CL White,35.0,2.0
NM Hauritz,4.0,1.0
PM Siddle,9.0,1.0
M Muralitharan,16.0,4.0
ST Jayasuriya,117.0,6.0
MKDI Amerasinghe,5.0,2.0
AC Gilchrist,447.0,6.0
JR Hopes,75.0,4.0
A Symonds,106.0,6.0
GB Hogg,30.0,3.0
NW Bracken,15.0,2.0
ML Hayden,148.0,5.0
WPUJC Vaas,29.0,3.0
RP Arnold,4.0,2.0
HMCM Bandara,17.0,1.0
BJ Hodge,0.0,0.0
SW Tait,0.0,0.0
GD McGrath,0.0,0.0
