name,score,freq
UT Khawaja,167.0,6.0
AJ Finch,167.0,9.0
SPD Smith,204.0,4.0
GJ Bailey,393.0,9.0
MR Marsh,136.0,4.0
GJ Maxwell,106.0,7.0
MS Wade,139.0,9.0
MA Starc,17.0,1
NM Coulter-Nile,16.0,2.0
A Zampa,5.0,1
JR Hazlewood,0.0,1
ADS Fletcher,161.0,9.0
J Charles,291.0,10.0
DM Bravo,275.0,13.0
MN Samuels,303.0,9.0
D Ramdin,349.0,13.0
KA Pollard,587.0,19.0
JO Holder,52.0,6.0
CR Brathwaite,45.0,4.0
SP Narine,84.0,10.0
SJ Benn,36.0,5.0
ST Gabriel,1.0,1
TM Head,1.0,1.0
JP Faulkner,76.0,4.0
JE Taylor,26.0,3.0
DA Warner,178.0,5.0
SR Watson,766.0,18.0
PJ Hughes,159.0,4.0
SE Marsh,245.0,8.0
AC Voges,201.0,4.0
BJ Haddin,133.0,4.0
KOA Powell,160.0,7.0
DJ Bravo,289.0,15.0
N Deonarine,113.0,6.0
DC Thomas,48.0,5.0
DJG Sammy,345.0,15.0
KAJ Roach,10.0,9.0
TL Best,1.0,2.0
AD Russell,137.0,5.0
MJ Clarke,318.0,12.0
MG Johnson,128.0,7.0
CH Gayle,247.0,13.0
RR Sarwan,144.0,8.0
PJ Forrest,103.0,4.0
B Lee,131.0,8.0
MEK Hussey,367.0,12.0
DJ Hussey,196.0,6.0
CJ McKay,8.0,4.0
XJ Doherty,2.0,3.0
BW Hilfenhaus,0.0,2.0
AB Barath,83.0,2.0
CS Baugh,31.0,4.0
DT Christian,24.0,2.0
RT Ponting,474.0,9.0
CL White,159.0,6.0
JR Hopes,148.0,7.0
TM Dowlin,66.0,5.0
WW Hinds,25.0,2.0
LMP Simmons,60.0,4.0
DR Smith,139.0,5.0
NO Miller,49.0,6.0
R Rampaul,25.0,3.0
TD Paine,57.0,2.0
RJ Harris,2.0,2.0
RS Morton,7.0,2.0
NM Hauritz,13.0,2.0
CJ Ferguson,20.0,1.0
DS Smith,17.0,1.0
CAK Walton,0.0,1.0
FL Reifer,28.0,1.0
DE Bernard,8.0,1.0
GC Tonge,0.0,1.0
L Ronchi,76.0,2.0
A Symonds,174.0,4.0
XM Marshall,58.0,5.0
S Chanderpaul,173.0,5.0
SE Findlay,68.0,2.0
DBL Powell,38.0,4.0
FH Edwards,8.0,3.0
PA Browne,1.0,1.0
AC Gilchrist,7.0,1.0
ML Hayden,158.0,1.0
GB Hogg,5.0,1.0
BC Lara,77.0,1.0
CD Collymore,1.0,1.0
NW Bracken,0.0,0.0
SW Tait,0.0,0.0
GD McGrath,0.0,0.0
