Player,Score,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0
Mohammad Saifuddin,31.583218474734124,2017-2020,22,13,4,290,51,32.22,337,86.05,0,2,1
Mehidy Hasan Miraz,25.727417856709128,2017-2020,41,26,4,393,51,17.86,508,77.36,0,1,0
Liton Das,46.27207414272475,2015-2020,36,36,3,1079,176,32.69,1133,95.23,3,3,4
Mustafizur Rahman,16.388563506088733,2015-2020,58,27,17,78,18,7.80,136,57.35,0,0,4
Mohammad Mithun,36.486383838764155,2014-2020,27,23,3,575,63,28.75,718,80.08,0,5,1
Shafiul Islam,17.303569257552745,2010-2020,60,34,12,134,24,6.09,240,55.83,0,0,9
Mahmudullah,34.773366773268926,2007-2020,188,163,42,4070,128,33.63,5311,76.63,3,21,8
Tamim Iqbal,42.4374704141474,2007-2020,207,205,9,7202,158,36.74,9153,78.68,13,47,18
Mushfiqur Rahim,39.52479842037076,2006-2020,218,204,34,6174,144,36.31,7794,79.21,7,38,10
Mashrafe Mortaza,29.88020854256455,2001-2020,218,156,28,1773,51,13.85,2021,87.72,0,1,15
