a,b,winner,location,date,a_bat,a_bowl,b_bat,b_bowl
Bangladesh,England,England,Bridgetown,"Apr 11, 2007",228.2606020317205,72.66496366871488,287.83646668267284,47.13068020219991
Bangladesh,England,England,Dhaka,"Feb 28, 2010",271.22765012683914,64.06514372949268,300.39466740019003,58.24603131126203
Bangladesh,England,England,Dhaka,"Mar 2, 2010",216.32528846939695,69.82458040831543,317.14466740019003,46.59712420743688
Bangladesh,England,England,Chattogram,"Mar 5, 2010",220.1586218027303,69.82458040831543,351.4299442363482,43.32693241600556
England,Bangladesh,England,Nottingham,"Jul 8, 2010",269.7451995376938,54.089052253401206,283.6389183179709,54.96745920129313
England,Bangladesh,Bangladesh,Bristol,"Jul 10, 2010",243.8330578689729,63.92440055507075,305.40437286342546,44.91085542770822
England,Bangladesh,England,Birmingham,"Jul 12, 2010",245.04472453563955,63.92440055507075,336.79154244784917,42.326512075413916
Bangladesh,England,Bangladesh,Chattogram,"Mar 11, 2011",249.57521960119738,60.38282999452144,329.09241558627383,59.044864250004
Bangladesh,England,Bangladesh,Adelaide,"Mar 9, 2015",312.0361722610754,76.3648817946586,336.1223645683596,57.77276039457414
Bangladesh,England,England,Dhaka,"Oct 7, 2016",263.2193408358465,50.19779225156741,250.64053403507125,40.675995064407275
Bangladesh,England,Bangladesh,Dhaka,"Oct 9, 2016",295.38759916768356,50.19779225156741,262.79053403507123,40.675995064407275
Bangladesh,England,England,Chattogram,"Oct 12, 2016",297.74854794113224,50.19779225156741,232.8379747474247,39.76301755215123
England,Bangladesh,England,The Oval,"Jun 1, 2017",351.8416470895621,62.88680400066146,405.10085268791426,39.375384243416185
England,Bangladesh,England,Cardiff,"Jun 8, 2019",310.0115107187993,59.99790252268967,347.0484561544601,57.19313613517356
