name,score,freq
Tamim Iqbal,469.0,13.0
Soumya Sarkar,68.0,2.0
Imrul Kayes,439.0,12.0
Mushfiqur Rahim,441.0,11.0
Shakib Al Hasan,278.0,13.0
Sabbir Rahman,108.0,5.0
Mahmudullah,366.0,12.0
Mosaddek Hossain,69.0,4.0
JJ Roy,55.0,3.0
AD Hales,122.0,2.0
JE Root,162.0,2.0
EJG Morgan,342.0,9.0
Nasir Hossain,31.0,2.0
JM Vince,53.0,3.0
SW Billings,62.0,1.0
BM Duckett,123.0,3.0
JM Bairstow,50.0,3.0
BA Stokes,148.0,3.0
JC Buttler,210.0,4.0
MM Ali,30.0,4.0
CR Woakes,92.0,4.0
Mashrafe Mortaza,109.0,8.0
Shafiul Islam,51.0,6.0
AU Rashid,33.0,1.0
DJ Willey,9.0,2.0
JT Ball,28.0,1.0
Mosharraf Hossain,7.0,1.0
Taskin Ahmed,1.0,1.0
Arafat Sunny,3.0,1.0
IR Bell,152.0,5.0
JWA Taylor,1.0,1.0
CJ Jordan,0.0,1.0
SCJ Broad,30.0,2.0
JM Anderson,4.0,3.0
AJ Strauss,278.0,5.0
MJ Prior,87.0,3.0
IJL Trott,271.0,3.0
RS Bopara,61.0,3.0
GP Swann,14.0,2.0
PD Collingwood,206.0,8.0
TT Bresnan,18.0,4.0
A Shahzad,6.0,2.0
Junaid Siddique,109.0,5.0
Raqibul Hasan,76.0,2.0
Naeem Islam,61.0,4.0
Abdur Razzak,66.0,7.0
C Kieswetter,182.0,6.0
LJ Wright,54.0,4.0
MH Yardy,28.0,3.0
Jahurul Islam,67.0,2.0
Mohammad Ashraful,28.0,3.0
Rubel Hossain,3.0,2.0
Faisal Hossain,8.0,1.0
AN Cook,156.0,3.0
KP Pietersen,51.0,4.0
Aftab Ahmed,62.0,4.0
Sohrawordi Shuvo,25.0,2.0
JC Tredwell,2.0,1.0
Shahriar Nafees,9.0,1.0
Habibul Bashar,4.0,1.0
Mohammad Rafique,0.0,1.0
Syed Rasel,4.0,1.0
MP Vaughan,30.0,1.0
A Flintoff,23.0,1.0
PA Nixon,20.0,1.0
SI Mahmood,0.0,0.0
MS Panesar,0.0,0.0
