name,score,freq
MJ Guptill,548.0,11.0
C Munro,200.0,6.0
HM Nicholls,131.0,3.0
LRPL Taylor,921.0,22.0
TWM Latham,403.0,8.0
JDS Neesham,194.0,9.0
C de Grandhomme,37.0,1
MJ Santner,52.0,6.0
Tamim Iqbal,540.0,22.0
Liton Das,3.0,3.0
Soumya Sarkar,168.0,8.0
Mushfiqur Rahim,562.0,24.0
Mahmudullah,537.0,20.0
Sabbir Rahman,345.0,10.0
Mohammad Saifuddin,95.0,3.0
Mashrafe Mortaza,162.0,15.0
Mehidy Hasan Miraz,85.0,4.0
Rubel Hossain,10.0,7.0
Mustafizur Rahman,5.0,6.0
Mohammad Mithun,119.0,2.0
KS Williamson,274.0,7.0
L Ronchi,107.0,7.0
NT Broom,464.0,9.0
CJ Anderson,147.0,6.0
AF Milne,7.0,1.0
TG Southee,52.0,11.0
Shakib Al Hasan,575.0,21.0
Mosaddek Hossain,122.0,6.0
MJ Henry,5.0,1.0
JS Patel,11.0,2.0
GH Worker,17.0,1.0
Imrul Kayes,413.0,12.0
Nurul Hasan,68.0,2.0
Tanbir Hayder,5.0,2.0
Taskin Ahmed,6.0,3.0
LH Ferguson,4.0,1.0
TA Boult,12.0,1.0
Subashis Roy,1.0,1.0
Nasir Hossain,59.0,4.0
BB McCullum,323.0,16.0
GD Elliott,210.0,8.0
DL Vettori,220.0,11.0
AP Devcich,87.0,3.0
Shamsur Rahman,121.0,2.0
Ziaur Rahman,22.0,1.0
Mominul Haque,63.0,3.0
Naeem Islam,286.0,9.0
Sohag Gazi,43.0,3.0
Abdur Razzak,84.0,10.0
HD Rutherford,2.0,2.0
NL McCullum,90.0,6.0
KD Mills,167.0,8.0
Anamul Haque,13.0,1.0
MJ McClenaghan,1.0,1.0
Shahriar Nafees,119.0,4.0
Junaid Siddique,218.0,10.0
Raqibul Hasan,60.0,5.0
Sohrawordi Shuvo,11.0,2.0
Shafiul Islam,20.0,5.0
JD Ryder,125.0,6.0
BJ Watling,27.0,4.0
AJ McKay,3.0,3.0
HK Bennett,0.0,2.0
AJ Redmond,16.0,1.0
DR Tuffey,10.0,2.0
SL Stewart,16.0,2.0
Nazmul Hossain,0.0,2.0
Aftab Ahmed,136.0,6.0
Mohammad Ashraful,246.0,10.0
Shahadat Hossain,36.0,7.0
PJ Ingram,122.0,3.0
JDP Oram,285.0,6.0
JEC Franklin,41.0,3.0
IG Butler,13.0,1.0
JM How,249.0,6.0
SB Styris,82.0,5.0
DR Flynn,36.0,3.0
Syed Rasel,10.0,2.0
MR Gillespie,2.0,1.0
Tushar Imran,23.0,2.0
Farhad Reza,27.0,3.0
PG Fulton,133.0,3.0
Mehrab Hossain jnr,3.0,1.0
MS Sinclair,1.0,1.0
Javed Omar,22.0,1.0
Habibul Bashar,9.0,1.0
Mohammad Rafique,30.0,1.0
SP Fleming,102.0,1.0
HJH Marshall,50.0,1.0
CD McMillan,0.0,0.0
SE Bond,0.0,0.0
MJ Mason,0.0,0.0
