name,score,freq
T Bavuma,48.0,1
Q de Kock,331.0,6.0
F du Plessis,253.0,6.0
AK Markram,66.0,1
AB de Villiers,409.0,7.0
F Behardien,88.0,4.0
PWA Mulder,2.0,1
AL Phehlukwayo,5.0,2.0
K Rabada,34.0,3.0
Imrul Kayes,119.0,6.0
Soumya Sarkar,213.0,4.0
Liton Das,63.0,6.0
Mushfiqur Rahim,214.0,8.0
Shakib Al Hasan,322.0,12.0
Mahmudullah,118.0,6.0
Sabbir Rahman,80.0,4.0
Mehidy Hasan Miraz,15.0,1
Mashrafe Mortaza,105.0,8.0
Taskin Ahmed,5.0,2.0
Rubel Hossain,16.0,3.0
HM Amla,497.0,10.0
JP Duminy,196.0,7.0
D Pretorius,0.0,1.0
Tamim Iqbal,287.0,11.0
Nasir Hossain,45.0,3.0
Mohammad Saifuddin,16.0,1.0
RR Rossouw,66.0,3.0
DA Miller,53.0,2.0
KJ Abbott,10.0,2.0
M Morkel,7.0,2.0
CH Morris,12.0,1.0
Imran Tahir,1.0,1.0
Jubair Hossain,5.0,1.0
Mustafizur Rahman,0.0,1.0
GC Smith,321.0,6.0
JH Kallis,200.0,4.0
MN van Wyk,5.0,1.0
J Botha,35.0,2.0
RJ Peterson,22.0,1.0
WD Parnell,0.0,1.0
LL Tsotsobe,4.0,1.0
Junaid Siddique,57.0,4.0
Shahriar Nafees,47.0,4.0
Naeem Islam,49.0,3.0
Shafiul Islam,0.0,1.0
Abdur Razzak,46.0,7.0
MV Boucher,26.0,3.0
JA Morkel,68.0,2.0
Mohammad Ashraful,182.0,6.0
Raqibul Hasan,94.0,5.0
Syed Rasel,8.0,4.0
JL Ontong,27.0,1.0
J Louw,23.0,1.0
Nazimuddin,31.0,2.0
Dhiman Ghosh,18.0,3.0
Farhad Reza,20.0,1.0
Mosharraf Hossain,15.0,3.0
HH Gibbs,126.0,4.0
AN Petersen,24.0,1.0
Shahadat Hossain,0.0,1.0
Javed Omar,17.0,1.0
Habibul Bashar,5.0,1.0
Aftab Ahmed,35.0,1.0
Mohammad Rafique,3.0,1.0
JM Kemp,7.0,1.0
AG Prince,1.0,1.0
SM Pollock,17.0,1.0
A Nel,1.0,1.0
CK Langeveldt,9.0,1.0
M Ntini,8.0,1.0
