name,score,freq
Tamim Iqbal,664.0,22.0
Soumya Sarkar,99.0,5.0
Mohammad Mithun,95.0,4.0
Mushfiqur Rahim,773.0,27.0
Mahmudullah,420.0,23.0
Sabbir Rahman,214.0,8.0
Mosaddek Hossain,59.0,5.0
Mehidy Hasan Miraz,116.0,5.0
Taijul Islam,3.0,1
Mustafizur Rahman,32.0,6.0
WIA Fernando,89.0,2.0
FDM Karunaratne,51.0,2.0
MDKJ Perera,385.0,10.0
BKG Mendis,189.0,7.0
AD Mathews,319.0,10.0
HDRL Thirimanne,201.0,6.0
NLTC Perera,245.0,10.0
DM de Silva,18.0,2.0
SL Malinga,24.0,5.0
N Pradeep,0.0,2.0
Shafiul Islam,19.0,3.0
Rubel Hossain,18.0,10.0
Liton Das,0.0,1.0
Shakib Al Hasan,0.0,1.0
Mashrafe Mortaza,127.0,13.0
WU Tharanga,562.0,16.0
MD Shanaka,7.0,1.0
MDK Perera,44.0,2.0
RAS Lakmal,33.0,6.0
MA Aponso,4.0,1.0
MD Gunathilaka,75.0,4.0
N Dickwella,58.0,2.0
LD Chandimal,242.0,9.0
DAS Gunaratne,80.0,4.0
A Dananjaya,31.0,2.0
DSK Madushanka,7.0,1.0
PVD Chameera,1.0,1.0
Mohammad Saifuddin,14.0,2.0
Anamul Haque,210.0,9.0
Abul Hasan,10.0,2.0
Nasir Hossain,243.0,9.0
PWH de Silva,0.0,1.0
TAM Siriwardana,34.0,2.0
S Prasanna,1.0,1.0
KMDN Kulasekara,38.0,9.0
Taskin Ahmed,14.0,2.0
SS Pathirana,31.0,1.0
PADLR Sandakan,3.0,1.0
CBRLS Kumara,0.0,1.0
TM Dilshan,718.0,13.0
KC Sangakkara,880.0,18.0
Mominul Haque,132.0,6.0
Shamsur Rahman,126.0,4.0
Ziaur Rahman,12.0,3.0
Arafat Sunny,9.0,4.0
Al-Amin Hossain,2.0,2.0
DPMD Jayawardene,285.0,12.0
SMA Priyanjan,112.0,4.0
PC de Silva,44.0,1.0
SMSM Senanayake,56.0,4.0
Naeem Islam,107.0,6.0
Sohag Gazi,46.0,5.0
KDK Vithanage,29.0,3.0
BMAJ Mendis,5.0,1.0
Mohammad Ashraful,285.0,13.0
Jahurul Islam,28.0,2.0
Abdur Razzak,71.0,9.0
CK Kapugedera,210.0,7.0
MF Maharoof,58.0,4.0
Nazimuddin,54.0,3.0
Imrul Kayes,68.0,3.0
Junaid Siddique,39.0,3.0
Syed Rasel,13.0,6.0
Raqibul Hasan,176.0,6.0
TT Samaraweera,41.0,1.0
LPC Silva,181.0,6.0
Nazmul Hossain,0.0,1.0
ST Jayasuriya,418.0,8.0
T Thushara,11.0,3.0
J Mubarak,120.0,5.0
M Muralitharan,44.0,3.0
BAW Mendis,23.0,3.0
WPUJC Vaas,20.0,2.0
Alok Kapali,39.0,2.0
Farhad Reza,42.0,4.0
Shahadat Hossain,12.0,3.0
CRD Fernando,0.0,2.0
UDU Chandana,1.0,1.0
Javed Omar,0.0,1.0
Aftab Ahmed,78.0,4.0
Shahriar Nafees,39.0,3.0
Tushar Imran,4.0,2.0
RP Arnold,5.0,1.0
Habibul Bashar,18.0,1.0
Mohammad Rafique,7.0,1.0
