name,score,freq
SD Hope,662.0,9.0
SW Ambris,130.0,3.0
DM Bravo,441.0,18.0
Tamim Iqbal,885.0,25.0
Soumya Sarkar,298.0,6.0
Sabbir Rahman,27.0,5.0
Mushfiqur Rahim,879.0,25.0
Mohammad Mithun,60.0,2.0
Mahmudullah,496.0,17.0
Mosaddek Hossain,66.0,3.0
RL Chase,119.0,5.0
JL Carter,14.0,2.0
JO Holder,129.0,8.0
FA Allen,13.0,2.0
AR Nurse,48.0,5.0
RA Reifer,7.0,1.0
KAJ Roach,28.0,10.0
SS Cottrell,12.0,2.0
Shakib Al Hasan,597.0,14.0
SO Dowrich,6.0,1.0
ST Gabriel,0.0,1.0
C Hemraj,12.0,2.0
MN Samuels,435.0,12.0
SO Hetmyer,227.0,6.0
R Powell,134.0,6.0
KMA Paul,70.0,4.0
D Bishoo,35.0,4.0
Liton Das,72.0,3.0
Imrul Kayes,73.0,9.0
Mashrafe Mortaza,124.0,10.0
Mehidy Hasan Miraz,10.0,1.0
KOA Powell,123.0,7.0
O Thomas,0.0,1.0
Anamul Haque,344.0,11.0
CH Gayle,319.0,13.0
E Lewis,42.0,3.0
JN Mohammed,22.0,2.0
AS Joseph,30.0,2.0
AD Russell,31.0,6.0
LMP Simmons,270.0,7.0
D Ramdin,281.0,4.0
KA Pollard,294.0,10.0
DJG Sammy,189.0,10.0
DJ Bravo,23.0,4.0
SP Narine,76.0,7.0
Mominul Haque,74.0,5.0
Nasir Hossain,196.0,10.0
Sohag Gazi,90.0,6.0
Abdur Razzak,64.0,12.0
KA Edwards,10.0,2.0
Shamsur Rahman,12.0,2.0
Al-Amin Hossain,0.0,1.0
Taskin Ahmed,0.0,1.0
DC Thomas,92.0,6.0
V Permaul,11.0,2.0
Jahurul Islam,10.0,1.0
Elias Sunny,1.0,2.0
DR Smith,4.0,3.0
Naeem Islam,179.0,10.0
Rubel Hossain,2.0,4.0
R Rampaul,25.0,2.0
DP Hyatt,48.0,3.0
CR Brathwaite,11.0,1.0
A Martin,1.0,1.0
Shahriar Nafees,0.0,1.0
Mohammad Ashraful,155.0,7.0
Alok Kapali,40.0,2.0
Shafiul Islam,4.0,2.0
AB Barath,21.0,1.0
Junaid Siddique,139.0,4.0
Raqibul Hasan,41.0,4.0
DS Smith,124.0,5.0
ADS Fletcher,79.0,3.0
TM Dowlin,148.0,3.0
FL Reifer,50.0,3.0
DE Bernard,61.0,3.0
NO Miller,29.0,2.0
GC Tonge,1.0,1.0
DM Richards,21.0,2.0
RN Lewis,43.0,2.0
Syed Rasel,9.0,2.0
NT Pascal,0.0,1.0
S Chanderpaul,50.0,1.0
RR Sarwan,91.0,1.0
BC Lara,33.0,1.0
Javed Omar,16.0,1.0
Aftab Ahmed,6.0,1.0
Habibul Bashar,12.0,1.0
Mohammad Rafique,0.0,1.0
DBL Powell,0.0,0.0
CD Collymore,0.0,0.0
JE Taylor,0.0,0.0
