name,score,freq
MJ Guptill,775.0,18.0
C Munro,56.0,6.0
KS Williamson,926.0,18.0
TWM Latham,182.0,5.0
MS Chapman,9.0,3.0
HM Nicholls,69.0,5.0
C de Grandhomme,72.0,5.0
MJ Santner,316.0,10.0
TG Southee,91.0,14.0
IS Sodhi,7.0,2.0
TA Boult,5.0,5.0
JM Bairstow,385.0,6.0
AD Hales,282.0,7.0
JE Root,901.0,19.0
EJG Morgan,623.0,19.0
BA Stokes,331.0,11.0
JJ Roy,225.0,10.0
JC Buttler,492.0,15.0
MM Ali,86.0,5.0
CR Woakes,100.0,8.0
AU Rashid,149.0,7.0
TK Curran,24.0,3.0
MA Wood,7.0,4.0
LRPL Taylor,1308.0,30.0
LH Ferguson,19.0,1.0
DJ Willey,26.0,3.0
LE Plunkett,141.0,6.0
JT Ball,0.0,1.0
L Ronchi,82.0,10.0
NT Broom,28.0,2.0
JDS Neesham,18.0,1.0
CJ Anderson,40.0,2.0
AF Milne,10.0,1.0
BB McCullum,854.0,26.0
GD Elliott,353.0,13.0
BM Wheeler,45.0,3.0
MJ Henry,12.0,2.0
AW Mathieson,0.0,1.0
SW Billings,90.0,4.0
ST Finn,6.0,5.0
CJ Jordan,5.0,2.0
NL McCullum,71.0,6.0
MJ McClenaghan,6.0,2.0
IR Bell,611.0,21.0
GS Ballance,10.0,1.0
JWA Taylor,0.0,1.0
SCJ Broad,85.0,10.0
JM Anderson,56.0,12.0
AN Cook,395.0,12.0
IJL Trott,362.0,7.0
RS Bopara,212.0,9.0
TT Bresnan,29.0,4.0
JC Tredwell,0.0,1.0
JEC Franklin,113.0,11.0
KD Mills,125.0,8.0
GP Swann,95.0,9.0
JW Dernbach,2.0,1.0
BJ Watling,10.0,3.0
HD Rutherford,13.0,2.0
AM Ellis,22.0,2.0
AJ Strauss,114.0,5.0
JL Denly,5.0,1.0
OA Shah,251.0,9.0
PD Collingwood,423.0,13.0
LJ Wright,88.0,6.0
RJ Sidebottom,44.0,5.0
GJ Hopkins,34.0,3.0
DL Vettori,125.0,10.0
JM How,151.0,7.0
SB Styris,309.0,9.0
DR Flynn,83.0,5.0
JDP Oram,386.0,8.0
KP Pietersen,295.0,9.0
TR Ambrose,9.0,4.0
MR Gillespie,15.0,4.0
CT Tremlett,3.0,1.0
JAH Marshall,4.0,1.0
MJ Mason,0.0,1.0
P Mustard,61.0,4.0
AD Mascarenhas,29.0,1.0
JD Ryder,157.0,4.0
PG Fulton,83.0,6.0
PA Hitchcock,11.0,1.0
CS Martin,2.0,1.0
EC Joyce,144.0,5.0
MP Vaughan,43.0,3.0
A Flintoff,111.0,5.0
JWM Dalrymple,47.0,5.0
PA Nixon,112.0,5.0
L Vincent,107.0,3.0
SP Fleming,160.0,5.0
CD McMillan,62.0,4.0
SE Bond,32.0,3.0
MB Loye,23.0,2.0
NJ Astle,46.0,2.0
J Lewis,7.0,2.0
MS Panesar,6.0,1.0
JS Patel,0.0,0.0
