name,score,freq
JJ Roy,216.0,11.0
JM Bairstow,142.0,5.0
JE Root,594.0,12.0
EJG Morgan,574.0,20.0
JL Denly,174.0,3.0
T Banton,50.0,2.0
SM Curran,7.0,1
CR Woakes,125.0,6.0
TK Curran,20.0,2.0
CJ Jordan,18.0,4.0
Q de Kock,707.0,11.0
RR Hendricks,17.0,2.0
T Bavuma,127.0,2.0
HE van der Dussen,93.0,3.0
JT Smuts,38.0,2.0
BA Stokes,356.0,8.0
JC Buttler,248.0,9.0
MM Ali,189.0,9.0
LE Plunkett,9.0,1.0
JC Archer,7.0,1.0
HM Amla,973.0,20.0
AK Markram,11.0,1.0
F du Plessis,331.0,15.0
JP Duminy,351.0,19.0
D Pretorius,1.0,1.0
AL Phehlukwayo,42.0,3.0
K Rabada,42.0,4.0
L Ngidi,6.0,1.0
Imran Tahir,5.0,4.0
DA Miller,207.0,4.0
BE Hendricks,3.0,1.0
L Sipamla,10.0,1.0
AU Rashid,65.0,6.0
AD Hales,469.0,8.0
DJ Willey,44.0,3.0
TS Roland-Jones,37.0,1.0
JT Ball,7.0,1.0
ST Finn,18.0,2.0
AB de Villiers,815.0,23.0
F Behardien,95.0,5.0
CH Morris,105.0,4.0
WD Parnell,48.0,6.0
SCJ Broad,29.0,6.0
RJW Topley,1.0,3.0
RR Rossouw,34.0,3.0
D Wiese,68.0,3.0
KJ Abbott,10.0,2.0
CA Ingram,0.0,1.0
RJ Peterson,87.0,4.0
R McLaren,7.0,5.0
RK Kleinveldt,43.0,1.0
LL Tsotsobe,0.0,2.0
AN Cook,79.0,5.0
IR Bell,336.0,11.0
IJL Trott,424.0,8.0
RS Bopara,110.0,7.0
C Kieswetter,88.0,4.0
SR Patel,98.0,4.0
JC Tredwell,7.0,2.0
JM Anderson,10.0,6.0
JW Dernbach,2.0,1.0
GC Smith,450.0,12.0
D Elgar,93.0,4.0
DW Steyn,67.0,8.0
M Morkel,21.0,4.0
TT Bresnan,8.0,3.0
GP Swann,30.0,4.0
AJ Strauss,143.0,6.0
KP Pietersen,192.0,8.0
MJ Prior,146.0,6.0
MH Yardy,3.0,1.0
JH Kallis,112.0,7.0
MN van Wyk,13.0,1.0
AN Petersen,166.0,3.0
MV Boucher,128.0,8.0
J Botha,47.0,6.0
CK Langeveldt,6.0,2.0
PD Collingwood,319.0,6.0
LJ Wright,51.0,4.0
JA Morkel,45.0,4.0
RE van der Merwe,5.0,2.0
OA Shah,177.0,4.0
HH Gibbs,155.0,5.0
VD Philander,33.0,2.0
A Flintoff,192.0,4.0
M Ntini,2.0,3.0
A Nel,23.0,2.0
MP Vaughan,17.0,1.0
PA Nixon,1.0,1.0
SI Mahmood,0.0,1.0
MS Panesar,2.0,1.0
AG Prince,0.0,0.0
JM Kemp,0.0,0.0
SM Pollock,0.0,0.0
AJ Hall,0.0,0.0
