name,score,freq
N Dickwella,192.0,4.0
S Samarawickrama,90.0,3.0
LD Chandimal,603.0,16.0
BKG Mendis,160.0,6.0
MD Shanaka,154.0,6.0
NLTC Perera,210.0,10.0
DM de Silva,75.0,4.0
A Dananjaya,57.0,3.0
JJ Roy,398.0,7.0
AD Hales,179.0,6.0
JE Root,933.0,19.0
JC Buttler,471.0,17.0
BA Stokes,139.0,5.0
MM Ali,290.0,11.0
SM Curran,2.0,1
AU Rashid,23.0,2.0
LE Plunkett,14.0,2.0
TK Curran,1.0,1
SL Malinga,55.0,14.0
EJG Morgan,695.0,24.0
MA Aponso,0.0,1.0
JM Bairstow,81.0,4.0
CR Woakes,134.0,8.0
LA Dawson,4.0,1.0
OP Stone,9.0,1.0
WU Tharanga,284.0,9.0
MDKJ Perera,217.0,12.0
JM Vince,51.0,1.0
MD Gunathilaka,132.0,3.0
AD Mathews,653.0,20.0
S Prasanna,36.0,5.0
RAS Lakmal,15.0,4.0
N Pradeep,7.0,1.0
KMC Bandara,1.0,1.0
MF Maharoof,37.0,4.0
S Randiv,68.0,4.0
IR Bell,485.0,20.0
GS Ballance,127.0,5.0
JWA Taylor,195.0,5.0
HDRL Thirimanne,348.0,10.0
TM Dilshan,935.0,27.0
KC Sangakkara,1270.0,26.0
DPMD Jayawardene,764.0,24.0
BMAJ Mendis,142.0,9.0
AN Cook,729.0,21.0
CJ Jordan,79.0,7.0
JC Tredwell,56.0,7.0
HF Gurney,12.0,5.0
RS Bopara,430.0,18.0
ST Finn,2.0,3.0
SMSM Senanayake,25.0,5.0
KTGD Prasad,34.0,4.0
BAW Mendis,9.0,3.0
SHT Kandamby,89.0,5.0
HMRKB Herath,2.0,2.0
JM Anderson,26.0,7.0
SMA Priyanjan,54.0,3.0
KMDN Kulasekara,107.0,10.0
MA Carberry,6.0,1.0
IJL Trott,298.0,6.0
TT Bresnan,61.0,5.0
SCJ Broad,52.0,8.0
C Kieswetter,204.0,5.0
KP Pietersen,255.0,10.0
SR Patel,8.0,1.0
GP Swann,114.0,8.0
JW Dernbach,8.0,2.0
FDM Karunaratne,4.0,1.0
ST Jayasuriya,118.0,8.0
AJ Strauss,14.0,2.0
MJ Prior,50.0,2.0
LJ Wright,1.0,1.0
TT Samaraweera,30.0,1.0
M Muralitharan,20.0,2.0
JL Denly,5.0,1.0
OA Shah,165.0,6.0
PD Collingwood,145.0,7.0
MDK Perera,30.0,1.0
LPC Silva,207.0,6.0
J Mubarak,77.0,5.0
KS Lokuarachchi,9.0,2.0
WPUJC Vaas,28.0,6.0
CRD Fernando,48.0,5.0
P Mustard,89.0,5.0
RJ Sidebottom,10.0,4.0
MS Panesar,3.0,1.0
RP Arnold,20.0,1.0
EC Joyce,10.0,1.0
MP Vaughan,0.0,1.0
A Flintoff,2.0,1.0
PA Nixon,42.0,1.0
SI Mahmood,2.0,1.0
