name,score,freq
JM Bairstow,394.0,8.0
AD Hales,270.0,5.0
JE Root,704.0,14.0
EJG Morgan,447.0,15.0
BA Stokes,320.0,12.0
JC Buttler,388.0,12.0
MM Ali,317.0,11.0
CR Woakes,115.0,5.0
TK Curran,0.0,2.0
AU Rashid,33.0,4.0
MA Wood,1.0,2.0
CH Gayle,1086.0,21.0
JD Campbell,69.0,4.0
SD Hope,316.0,11.0
DM Bravo,177.0,9.0
SO Hetmyer,141.0,4.0
JO Holder,219.0,9.0
CR Brathwaite,108.0,6.0
AR Nurse,154.0,9.0
D Bishoo,48.0,8.0
SS Cottrell,0.0,1.0
O Thomas,0.0,1.0
JJ Roy,387.0,7.0
LE Plunkett,30.0,6.0
N Pooran,0.0,1.0
KA Hope,33.0,1.0
MN Samuels,264.0,11.0
JN Mohammed,259.0,7.0
SW Ambris,38.0,1.0
R Powell,70.0,4.0
E Lewis,229.0,6.0
SW Billings,54.0,3.0
DJ Willey,1.0,1.0
JE Taylor,33.0,5.0
ML Cummins,4.0,1.0
KOK Williams,0.0,1.0
ST Finn,2.0,1.0
KOA Powell,38.0,6.0
KC Brathwaite,61.0,3.0
JL Carter,137.0,3.0
AS Joseph,22.0,1.0
ST Gabriel,1.0,2.0
MJ Lumb,165.0,3.0
RS Bopara,361.0,14.0
TT Bresnan,75.0,6.0
DR Smith,111.0,8.0
LMP Simmons,300.0,11.0
D Ramdin,272.0,13.0
DJ Bravo,501.0,14.0
DJG Sammy,198.0,11.0
NO Miller,22.0,4.0
SP Narine,16.0,4.0
R Rampaul,58.0,8.0
KA Edwards,19.0,2.0
LJ Wright,45.0,3.0
SCJ Broad,99.0,10.0
KA Pollard,168.0,9.0
TL Best,7.0,1.0
AN Cook,178.0,5.0
IR Bell,291.0,6.0
IJL Trott,132.0,3.0
C Kieswetter,38.0,1.0
AD Russell,56.0,2.0
AJ Strauss,298.0,9.0
MJ Prior,280.0,11.0
JC Tredwell,9.0,1.0
GP Swann,8.0,1.0
CT Tremlett,3.0,1.0
DS Smith,105.0,5.0
DC Thomas,9.0,1.0
RR Sarwan,213.0,9.0
SJ Benn,34.0,4.0
KAJ Roach,0.0,1.0
OA Shah,358.0,9.0
AD Mascarenhas,75.0,7.0
PD Collingwood,237.0,10.0
RS Morton,106.0,4.0
S Chanderpaul,532.0,11.0
FH Edwards,11.0,5.0
KP Pietersen,222.0,8.0
A Flintoff,18.0,3.0
LS Baker,11.0,1.0
GJ Batty,24.0,3.0
JM Anderson,22.0,6.0
SJ Harmison,18.0,1.0
MS Panesar,14.0,2.0
MH Yardy,19.0,1.0
RJ Sidebottom,15.0,1.0
DBL Powell,1.0,2.0
BC Lara,18.0,1.0
CD Collymore,1.0,1.0
MP Vaughan,79.0,1.0
JWM Dalrymple,1.0,1.0
PA Nixon,38.0,1.0
