name,score,freq
RG Sharma,3239.0,57.0
S Dhawan,1704.0,41.0
V Kohli,3093.0,56.0
SS Iyer,143.0,5.0
KL Rahul,284.0,10.0
MK Pandey,219.0,11.0
RA Jadeja,427.0,30.0
Mohammed Shami,62.0,17.0
DA Warner,900.0,21.0
AJ Finch,1646.0,46.0
SPD Smith,1238.0,18.0
M Labuschagne,208.0,4.0
AT Carey,683.0,30.0
AJ Turner,400.0,13.0
AC Agar,67.0,6.0
PJ Cummins,72.0,18.0
MA Starc,12.0,6.0
KW Richardson,24.0,2.0
A Zampa,46.0,13.0
RR Pant,184.0,7.0
SN Thakur,13.0,1.0
Kuldeep Yadav,92.0,18.0
JJ Bumrah,31.0,14.0
HH Pandya,318.0,6.0
MS Dhoni,2155.0,58.0
KM Jadhav,837.0,25.0
UT Khawaja,1575.0,26.0
GJ Maxwell,1082.0,40.0
MP Stoinis,831.0,28.0
NM Coulter-Nile,117.0,12.0
PSP Handscomb,1220.0,27.0
JA Richardson,141.0,12.0
NM Lyon,57.0,9.0
V Shankar,360.0,12.0
B Kumar,310.0,15.0
YS Chahal,1.0,4.0
SE Marsh,1043.0,26.0
AT Rayudu,171.0,15.0
PM Siddle,34.0,8.0
B Stanlake,0.0,3.0
JP Behrendorff,3.0,3.0
KD Karthik,111.0,7.0
JR Hazlewood,3.0,3.0
TM Head,119.0,5.0
MS Wade,260.0,11.0
JP Faulkner,304.0,11.0
AM Rahane,441.0,10.0
AR Patel,5.0,2.0
UT Yadav,10.0,6.0
HWR Cartwright,2.0,2.0
GJ Bailey,612.0,11.0
MR Marsh,164.0,4.0
JW Hastings,2.0,3.0
Gurkeerat Singh,13.0,3.0
R Dhawan,12.0,2.0
I Sharma,8.0,6.0
R Ashwin,85.0,8.0
SR Watson,574.0,15.0
MJ Clarke,411.0,15.0
BJ Haddin,284.0,12.0
MG Johnson,145.0,14.0
SK Raina,497.0,18.0
MM Sharma,0.0,1.0
Yuvraj Singh,536.0,22.0
PJ Hughes,188.0,5.0
AC Voges,221.0,9.0
CJ McKay,33.0,4.0
XJ Doherty,13.0,2.0
R Vinay Kumar,29.0,4.0
PJ Forrest,125.0,3.0
MEK Hussey,673.0,16.0
DJ Hussey,251.0,5.0
DT Christian,110.0,4.0
B Lee,62.0,11.0
V Sehwag,206.0,11.0
SR Tendulkar,884.0,21.0
G Gambhir,532.0,17.0
IK Pathan,166.0,11.0
P Kumar,143.0,8.0
RT Ponting,730.0,20.0
Z Khan,77.0,6.0
RJ Harris,2.0,1.0
R Sharma,1.0,1.0
CL White,319.0,8.0
TD Paine,67.0,3.0
M Vijay,15.0,1.0
SS Tiwary,12.0,1.0
Harbhajan Singh,161.0,13.0
A Nehra,14.0,4.0
MM Patel,2.0,3.0
MC Henriques,18.0,2.0
GA Manou,7.0,1.0
NM Hauritz,39.0,2.0
DE Bollinger,0.0,1.0
BW Hilfenhaus,16.0,1.0
JR Hopes,214.0,10.0
RV Uthappa,283.0,10.0
PP Chawla,6.0,1.0
S Sreesanth,13.0,5.0
AC Gilchrist,236.0,11.0
ML Hayden,485.0,9.0
A Symonds,507.0,10.0
NW Bracken,5.0,4.0
SR Clark,8.0,3.0
GB Hogg,55.0,4.0
BJ Hodge,59.0,5.0
SC Ganguly,127.0,4.0
M Kartik,21.0,2.0
R Dravid,51.0,5.0
RP Singh,12.0,1.0
RR Powar,17.0,1.0
