name,score,freq
Liton Das,206.0,5.0
Mehidy Hasan Miraz,74.0,2.0
Imrul Kayes,157.0,6.0
Mushfiqur Rahim,604.0,20.0
Mohammad Mithun,37.0,3.0
Mahmudullah,319.0,13.0
Soumya Sarkar,190.0,6.0
Mashrafe Mortaza,161.0,12.0
Nazmul Islam,7.0,1
Mustafizur Rahman,14.0,4.0
Rubel Hossain,8.0,6.0
RG Sharma,556.0,12.0
S Dhawan,317.0,8.0
AT Rayudu,85.0,7.0
KD Karthik,138.0,6.0
MS Dhoni,515.0,13.0
KM Jadhav,23.0,1
RA Jadeja,101.0,5.0
B Kumar,49.0,3.0
Kuldeep Yadav,5.0,1
Najmul Hossain Shanto,7.0,1.0
Shakib Al Hasan,525.0,16.0
Mosaddek Hossain,27.0,2.0
Tamim Iqbal,574.0,17.0
Sabbir Rahman,155.0,5.0
Taskin Ahmed,12.0,4.0
V Kohli,654.0,11.0
SK Raina,456.0,12.0
STR Binny,20.0,2.0
AR Patel,18.0,3.0
Nasir Hossain,183.0,7.0
Arafat Sunny,14.0,1.0
R Ashwin,7.0,3.0
DS Kulkarni,2.0,1.0
AM Rahane,165.0,5.0
MM Sharma,15.0,2.0
UT Yadav,19.0,2.0
RV Uthappa,75.0,4.0
CA Pujara,11.0,2.0
WP Saha,5.0,1.0
A Mishra,4.0,1.0
Anamul Haque,121.0,3.0
Ziaur Rahman,20.0,3.0
Al-Amin Hossain,1.0,2.0
Mominul Haque,29.0,2.0
Abdur Razzak,34.0,4.0
Shamsur Rahman,7.0,1.0
Naeem Islam,55.0,5.0
Sohag Gazi,3.0,1.0
G Gambhir,510.0,9.0
SR Tendulkar,149.0,3.0
Nazimuddin,11.0,2.0
Jahurul Islam,53.0,1.0
V Sehwag,311.0,7.0
YK Pathan,8.0,1.0
Junaid Siddique,37.0,1.0
Raqibul Hasan,202.0,5.0
Shafiul Islam,0.0,2.0
Mohammad Ashraful,158.0,8.0
Sohrawordi Shuvo,4.0,1.0
Syed Rasel,4.0,2.0
Yuvraj Singh,148.0,7.0
Alok Kapali,135.0,2.0
Farhad Reza,5.0,2.0
Shahriar Nafees,11.0,2.0
Dolar Mahmud,0.0,1.0
R Dravid,78.0,3.0
D Mongia,34.0,2.0
PP Chawla,1.0,1.0
RR Powar,5.0,1.0
Z Khan,24.0,2.0
Javed Omar,91.0,2.0
Aftab Ahmed,64.0,3.0
Habibul Bashar,44.0,3.0
Mohammad Rafique,24.0,2.0
SC Ganguly,66.0,1.0
Harbhajan Singh,0.0,1.0
AB Agarkar,0.0,1.0
MM Patel,15.0,1.0
