name,score,freq
RG Sharma,352.0,11.0
S Dhawan,357.0,12.0
V Kohli,1033.0,26.0
KD Karthik,78.0,7.0
MS Dhoni,1178.0,34.0
SK Raina,843.0,23.0
HH Pandya,157.0,5.0
B Kumar,79.0,7.0
SN Thakur,22.0,1
JM Vince,27.0,1
JM Bairstow,252.0,9.0
JE Root,684.0,15.0
EJG Morgan,546.0,17.0
JJ Roy,298.0,5.0
BA Stokes,253.0,9.0
JC Buttler,294.0,12.0
MM Ali,223.0,9.0
DJ Willey,66.0,4.0
KL Rahul,33.0,5.0
UT Yadav,0.0,3.0
Kuldeep Yadav,8.0,1.0
S Kaul,1.0,1.0
YS Chahal,12.0,1.0
AU Rashid,22.0,1.0
LE Plunkett,37.0,3.0
MA Wood,0.0,1.0
SW Billings,35.0,1.0
CR Woakes,106.0,9.0
AM Rahane,612.0,18.0
Yuvraj Singh,944.0,20.0
KM Jadhav,232.0,3.0
RA Jadeja,465.0,17.0
R Ashwin,128.0,13.0
JJ Bumrah,0.0,1.0
AD Hales,115.0,6.0
AT Rayudu,152.0,4.0
STR Binny,51.0,2.0
AR Patel,1.0,2.0
MM Sharma,7.0,1.0
Mohammed Shami,27.0,4.0
IR Bell,956.0,25.0
JWA Taylor,138.0,2.0
RS Bopara,438.0,19.0
SCJ Broad,148.0,11.0
AN Cook,806.0,25.0
JC Tredwell,64.0,7.0
GS Ballance,7.0,1.0
ST Finn,38.0,8.0
JM Anderson,13.0,8.0
HF Gurney,3.0,1.0
CJ Jordan,0.0,1.0
IJL Trott,296.0,8.0
TT Bresnan,116.0,8.0
G Gambhir,628.0,18.0
I Sharma,7.0,2.0
KP Pietersen,789.0,21.0
SR Patel,329.0,14.0
C Kieswetter,295.0,11.0
JW Dernbach,7.0,4.0
AB Dinda,3.0,1.0
MK Tiwary,35.0,2.0
P Kumar,18.0,4.0
R Vinay Kumar,0.0,1.0
GP Swann,44.0,6.0
SC Meaker,2.0,2.0
SG Borthwick,3.0,1.0
PA Patel,117.0,7.0
R Dravid,326.0,10.0
PD Collingwood,358.0,11.0
A Flintoff,128.0,7.0
OA Shah,385.0,9.0
V Sehwag,314.0,5.0
SR Tendulkar,435.0,9.0
YK Pathan,68.0,4.0
MJ Prior,189.0,11.0
Harbhajan Singh,8.0,1.0
Z Khan,63.0,7.0
RP Singh,17.0,5.0
MM Patel,1.0,2.0
SJ Harmison,6.0,2.0
SC Ganguly,249.0,7.0
RV Uthappa,69.0,2.0
RR Powar,23.0,5.0
PP Chawla,17.0,5.0
LJ Wright,50.0,2.0
AD Mascarenhas,88.0,2.0
AB Agarkar,19.0,4.0
J Lewis,17.0,1.0
CT Tremlett,19.0,2.0
MS Panesar,0.0,0.0
