name,score,freq
MJ Guptill,861.0,36.0
HM Nicholls,478.0,17.0
TA Blundell,31.0,2.0
LRPL Taylor,1545.0,38.0
TWM Latham,834.0,20.0
JDS Neesham,241.0,11.0
C de Grandhomme,157.0,10.0
MS Chapman,1.0,1
TG Southee,174.0,15.0
KA Jamieson,25.0,1
PP Shaw,84.0,3.0
MA Agarwal,36.0,3.0
V Kohli,1520.0,28.0
SS Iyer,217.0,3.0
KL Rahul,205.0,4.0
KM Jadhav,269.0,14.0
RA Jadeja,256.0,9.0
SN Thakur,25.0,2.0
NA Saini,53.0,2.0
YS Chahal,51.0,6.0
JJ Bumrah,0.0,3.0
MJ Santner,174.0,15.0
KS Williamson,1081.0,29.0
MJ Henry,80.0,5.0
TA Boult,40.0,13.0
RG Sharma,833.0,26.0
RR Pant,32.0,1.0
KD Karthik,205.0,11.0
HH Pandya,253.0,10.0
MS Dhoni,866.0,23.0
B Kumar,77.0,9.0
S Dhawan,520.0,16.0
Shubman Gill,32.0,4.0
AT Rayudu,437.0,12.0
V Shankar,90.0,2.0
Mohammed Shami,24.0,5.0
C Munro,253.0,11.0
TD Astle,20.0,2.0
Kuldeep Yadav,30.0,3.0
KK Ahmed,10.0,2.0
DAJ Bracewell,173.0,7.0
IS Sodhi,25.0,6.0
LH Ferguson,28.0,6.0
MK Pandey,118.0,6.0
AF Milne,0.0,1.0
AM Rahane,191.0,9.0
AR Patel,79.0,3.0
J Yadav,1.0,1.0
BJ Watling,16.0,3.0
CJ Anderson,143.0,6.0
AP Devcich,18.0,2.0
A Mishra,15.0,2.0
DS Kulkarni,25.0,1.0
UT Yadav,25.0,2.0
L Ronchi,66.0,6.0
JD Ryder,299.0,9.0
BB McCullum,311.0,12.0
R Ashwin,29.0,5.0
VR Aaron,0.0,1.0
NL McCullum,112.0,8.0
KD Mills,188.0,11.0
SK Raina,230.0,9.0
I Sharma,17.0,4.0
JM How,41.0,4.0
SB Styris,251.0,7.0
JEC Franklin,187.0,3.0
GD Elliott,109.0,8.0
DL Vettori,111.0,6.0
G Gambhir,412.0,8.0
PA Patel,109.0,2.0
Yuvraj Singh,239.0,10.0
YK Pathan,173.0,5.0
SS Tiwary,37.0,1.0
GJ Hopkins,43.0,5.0
M Vijay,92.0,3.0
WP Saha,4.0,1.0
A Nehra,4.0,3.0
S Sreesanth,4.0,1.0
MM Patel,8.0,2.0
DR Tuffey,23.0,2.0
AJ McKay,3.0,3.0
V Sehwag,374.0,6.0
P Kumar,13.0,3.0
PJ Ingram,12.0,1.0
JDP Oram,46.0,5.0
A Mithun,4.0,1.0
PP Ojha,0.0,1.0
NT Broom,23.0,2.0
IG Butler,30.0,3.0
SE Bond,10.0,1.0
SR Tendulkar,229.0,3.0
R Dravid,14.0,1.0
Harbhajan Singh,1.0,1.0
Z Khan,5.0,1.0
PD McGlashan,63.0,2.0
JS Patel,0.0,1.0
IE O'Brien,3.0,1.0
