name,score,freq
Imam-ul-Haq,12.0,2.0
Fakhar Zaman,145.0,3.0
Babar Azam,110.0,4.0
Sarfaraz Ahmed,65.0,3.0
Shoaib Malik,743.0,18.0
Asif Ali,39.0,2.0
Shadab Khan,32.0,3.0
Mohammad Nawaz(3),15.0,1
Hasan Ali,3.0,3.0
RG Sharma,580.0,15.0
S Dhawan,380.0,7.0
AT Rayudu,101.0,3.0
Faheem Ashraf,21.0,1.0
Mohammad Amir,30.0,4.0
Usman Shinwari,0.0,1.0
KD Karthik,65.0,3.0
Azhar Ali,120.0,4.0
Mohammad Hafeez,437.0,9.0
Imad Wasim,25.0,2.0
V Kohli,459.0,12.0
Yuvraj Singh,577.0,15.0
MS Dhoni,688.0,18.0
KM Jadhav,9.0,1.0
HH Pandya,96.0,2.0
RA Jadeja,116.0,6.0
R Ashwin,45.0,6.0
B Kumar,3.0,3.0
JJ Bumrah,1.0,1.0
Ahmed Shehzad,101.0,3.0
SK Raina,429.0,12.0
AM Rahane,27.0,3.0
Mohammed Shami,3.0,3.0
Younis Khan,686.0,15.0
Haris Sohail,36.0,1.0
Misbah-ul-Haq,550.0,17.0
Sohaib Maqsood,38.0,2.0
Umar Akmal,107.0,7.0
Shahid Afridi,235.0,13.0
Yasir Shah,13.0,1.0
Sohail Khan,7.0,1.0
Mohammad Irfan,1.0,4.0
A Mishra,1.0,1.0
Sharjeel Khan,25.0,1.0
Umar Gul,51.0,8.0
Mohammad Talha,0.0,1.0
Saeed Ajmal,14.0,7.0
Junaid Khan,1.0,4.0
Nasir Jamshed,408.0,6.0
Kamran Akmal,192.0,12.0
Asad Shafiq,71.0,2.0
Umar Amin,32.0,2.0
G Gambhir,488.0,16.0
I Sharma,7.0,4.0
V Sehwag,420.0,11.0
AB Dinda,0.0,1.0
Hammad Azam,4.0,1.0
SR Tendulkar,404.0,8.0
Harbhajan Singh,88.0,5.0
Z Khan,18.0,2.0
A Nehra,1.0,2.0
MM Patel,0.0,1.0
Abdul Razzaq,6.0,2.0
Salman Butt,535.0,10.0
Imran Farhat,25.0,1.0
Shoaib Akhtar,4.0,2.0
P Kumar,27.0,5.0
Imran Nazir,40.0,2.0
Mohammad Yousuf,432.0,9.0
Naved-ul-Hasan,11.0,1.0
R Dravid,76.0,1.0
YK Pathan,33.0,4.0
RP Singh,3.0,2.0
IK Pathan,156.0,7.0
Sohail Tanvir,32.0,6.0
PP Chawla,2.0,2.0
Iftikhar Anjum,16.0,1.0
Yasir Hameed,1.0,1.0
Fawad Alam,32.0,1.0
RV Uthappa,31.0,4.0
M Kartik,16.0,1.0
S Sreesanth,10.0,1.0
SC Ganguly,89.0,4.0
Abdur Rehman,2.0,2.0
