name,score,freq
AK Markram,127.0,6.0
HM Amla,919.0,24.0
AB de Villiers,1062.0,25.0
K Zondo,96.0,3.0
H Klaasen,110.0,4.0
F Behardien,125.0,6.0
CH Morris,82.0,6.0
AL Phehlukwayo,91.0,6.0
M Morkel,42.0,12.0
Imran Tahir,32.0,7.0
L Ngidi,10.0,3.0
S Dhawan,790.0,16.0
RG Sharma,644.0,23.0
V Kohli,1269.0,24.0
AM Rahane,474.0,12.0
SS Iyer,48.0,2.0
HH Pandya,26.0,4.0
MS Dhoni,614.0,24.0
B Kumar,56.0,9.0
Kuldeep Yadav,2.0,2.0
JP Duminy,607.0,23.0
DA Miller,245.0,17.0
K Rabada,49.0,8.0
T Shamsi,0.0,2.0
KM Jadhav,1.0,1.0
Q de Kock,673.0,11.0
F du Plessis,658.0,13.0
Yuvraj Singh,249.0,11.0
D Elgar,5.0,1.0
SK Raina,351.0,16.0
AR Patel,37.0,4.0
Harbhajan Singh,87.0,10.0
A Mishra,4.0,2.0
MM Sharma,0.0,3.0
AM Phangiso,20.0,1.0
DW Steyn,89.0,11.0
UT Yadav,5.0,2.0
STR Binny,2.0,1.0
RA Jadeja,162.0,6.0
R Ashwin,49.0,4.0
Mohammed Shami,12.0,3.0
WD Parnell,122.0,6.0
VD Philander,31.0,3.0
JH Kallis,386.0,9.0
R McLaren,83.0,2.0
I Sharma,0.0,1.0
KD Karthik,199.0,6.0
CA Ingram,46.0,4.0
RJ Peterson,121.0,4.0
RK Kleinveldt,4.0,1.0
LL Tsotsobe,5.0,5.0
V Sehwag,128.0,3.0
SR Tendulkar,546.0,8.0
G Gambhir,74.0,3.0
YK Pathan,225.0,7.0
Z Khan,44.0,5.0
A Nehra,24.0,5.0
MM Patel,11.0,4.0
GC Smith,172.0,6.0
MN van Wyk,202.0,6.0
J Botha,115.0,7.0
PA Patel,49.0,2.0
PP Chawla,10.0,2.0
M Vijay,43.0,4.0
LE Bosman,97.0,2.0
S Sreesanth,1.0,2.0
A Mithun,24.0,1.0
S Tyagi,1.0,1.0
HH Gibbs,112.0,5.0
RE van der Merwe,12.0,1.0
AN Petersen,18.0,2.0
MV Boucher,108.0,5.0
CK Langeveldt,16.0,2.0
P Kumar,13.0,1.0
JA Morkel,2.0,1.0
JM Kemp,61.0,1.0
AJ Hall,34.0,3.0
SC Ganguly,73.0,3.0
R Dravid,112.0,3.0
A Nel,1.0,1.0
RR Powar,1.0,1.0
RP Singh,0.0,0.0
M Ntini,0.0,0.0
