name,score,freq
MD Gunathilaka,160.0,6.0
WU Tharanga,1141.0,35.0
S Samarawickrama,42.0,1
AD Mathews,1263.0,35.0
N Dickwella,191.0,10.0
DAS Gunaratne,85.0,3.0
NLTC Perera,325.0,23.0
SS Pathirana,9.0,2.0
A Dananjaya,38.0,6.0
RAS Lakmal,13.0,5.0
N Pradeep,0.0,2.0
RG Sharma,1547.0,42.0
S Dhawan,983.0,16.0
SS Iyer,162.0,3.0
KD Karthik,408.0,20.0
MS Dhoni,1862.0,43.0
HH Pandya,46.0,5.0
HDRL Thirimanne,639.0,18.0
MK Pandey,88.0,3.0
B Kumar,53.0,4.0
Kuldeep Yadav,19.0,1.0
JJ Bumrah,0.0,1.0
YS Chahal,0.0,1.0
EMDY Munaweera,15.0,2.0
TAM Siriwardana,144.0,4.0
PWH de Silva,33.0,3.0
PM Pushpakumara,11.0,2.0
MVT Fernando,20.0,5.0
SL Malinga,107.0,16.0
AM Rahane,216.0,8.0
V Kohli,2171.0,44.0
KM Jadhav,109.0,5.0
KL Rahul,28.0,3.0
BKG Mendis,146.0,5.0
LD Chandimal,364.0,16.0
CK Kapugedera,607.0,29.0
PVD Chameera,12.0,2.0
AR Patel,37.0,3.0
PADLR Sandakan,5.0,1.0
Yuvraj Singh,901.0,28.0
RA Jadeja,341.0,16.0
MDKJ Perera,121.0,7.0
TM Dilshan,1897.0,48.0
DPMD Jayawardene,1574.0,50.0
S Prasanna,66.0,6.0
BAW Mendis,50.0,13.0
AT Rayudu,268.0,6.0
RV Uthappa,153.0,9.0
STR Binny,12.0,2.0
R Ashwin,118.0,10.0
SK Raina,1220.0,42.0
KMDN Kulasekara,293.0,27.0
RMS Eranga,19.0,3.0
KC Sangakkara,1953.0,47.0
SMA Priyanjan,15.0,3.0
PC de Silva,11.0,2.0
PLS Gamage,0.0,2.0
WP Saha,16.0,2.0
S Randiv,145.0,10.0
KTGD Prasad,30.0,2.0
Mohammed Shami,14.0,2.0
SMSM Senanayake,19.0,2.0
HMRKB Herath,26.0,4.0
R Vinay Kumar,5.0,2.0
I Sharma,32.0,8.0
BMAJ Mendis,207.0,6.0
LHD Dilhara,6.0,1.0
M Vijay,44.0,2.0
UT Yadav,0.0,3.0
G Gambhir,1344.0,32.0
MK Tiwary,86.0,2.0
IK Pathan,183.0,11.0
V Sehwag,1030.0,28.0
Z Khan,56.0,11.0
PP Ojha,39.0,8.0
SR Tendulkar,682.0,20.0
MF Maharoof,218.0,12.0
PA Patel,4.0,1.0
TT Samaraweera,220.0,9.0
LPC Silva,269.0,10.0
P Kumar,44.0,8.0
A Nehra,11.0,5.0
MM Patel,30.0,6.0
CRD Fernando,46.0,5.0
Harbhajan Singh,73.0,13.0
SHT Kandamby,474.0,16.0
M Muralitharan,42.0,11.0
AB Dinda,2.0,2.0
NV Ojha,1.0,1.0
YK Pathan,128.0,7.0
Pankaj Singh,3.0,1.0
S Sreesanth,5.0,3.0
T Thushara,269.0,11.0
UWMBCA Welegedara,4.0,3.0
ST Jayasuriya,707.0,23.0
R Dravid,217.0,5.0
RP Singh,23.0,3.0
L Balaji,7.0,1.0
SM Warnapura,30.0,2.0
ML Udawatte,43.0,1.0
J Mubarak,47.0,1.0
S Badrinath,39.0,3.0
WPUJC Vaas,56.0,6.0
K Weeraratne,23.0,1.0
MDK Perera,8.0,1.0
MKDI Amerasinghe,0.0,1.0
RP Arnold,114.0,4.0
SC Ganguly,175.0,4.0
AB Agarkar,10.0,1.0
MS Atapattu,76.0,3.0
HMCM Bandara,10.0,3.0
A Kumble,2.0,1.0
