name,score,freq
RG Sharma,1555.0,32.0
KL Rahul,281.0,5.0
V Kohli,2238.0,38.0
SS Iyer,337.0,6.0
RR Pant,181.0,7.0
KM Jadhav,209.0,12.0
RA Jadeja,268.0,21.0
E Lewis,291.0,9.0
SD Hope,574.0,16.0
SO Hetmyer,442.0,12.0
RL Chase,137.0,8.0
N Pooran,363.0,8.0
KA Pollard,448.0,18.0
JO Holder,392.0,19.0
KMA Paul,70.0,4.0
AS Joseph,8.0,3.0
K Pierre,21.0,1
SS Cottrell,54.0,5.0
S Dube,9.0,1.0
DL Chahar,6.0,1.0
Mohammed Shami,27.0,8.0
SW Ambris,71.0,3.0
CH Gayle,360.0,17.0
CR Brathwaite,18.0,5.0
FA Allen,25.0,6.0
S Dhawan,720.0,25.0
B Kumar,44.0,7.0
KAJ Roach,186.0,19.0
O Thomas,12.0,5.0
V Shankar,28.0,2.0
MS Dhoni,823.0,22.0
HH Pandya,116.0,4.0
Kuldeep Yadav,17.0,4.0
SN Thakur,17.0,1.0
KOA Powell,232.0,10.0
R Powell,106.0,7.0
MN Samuels,851.0,28.0
D Bishoo,61.0,8.0
AT Rayudu,201.0,6.0
C Hemraj,38.0,3.0
AR Nurse,79.0,7.0
OC McCoy,0.0,1.0
YS Chahal,3.0,1.0
KK Ahmed,3.0,1.0
JJ Bumrah,0.0,1.0
KA Hope,100.0,3.0
JN Mohammed,78.0,5.0
KOK Williams,3.0,3.0
AM Rahane,392.0,9.0
KD Karthik,355.0,11.0
UT Yadav,17.0,3.0
Yuvraj Singh,443.0,10.0
ML Cummins,1.0,1.0
JL Carter,34.0,2.0
DR Smith,177.0,7.0
D Ramdin,350.0,17.0
LMP Simmons,445.0,16.0
DJG Sammy,358.0,21.0
AD Russell,331.0,12.0
JE Taylor,47.0,7.0
SK Raina,453.0,21.0
R Ashwin,135.0,9.0
DM Bravo,611.0,18.0
DJ Bravo,216.0,15.0
SJ Benn,11.0,4.0
R Rampaul,139.0,8.0
A Mishra,10.0,3.0
MM Sharma,8.0,1.0
J Charles,267.0,6.0
SP Narine,63.0,7.0
V Permaul,0.0,1.0
N Deonarine,4.0,1.0
M Vijay,27.0,1.0
TL Best,3.0,2.0
DS Smith,173.0,6.0
RR Sarwan,378.0,10.0
G Gambhir,270.0,13.0
PA Patel,203.0,10.0
MK Tiwary,128.0,3.0
IK Pathan,4.0,1.0
A Martin,5.0,4.0
V Sehwag,265.0,4.0
DP Hyatt,64.0,6.0
R Vinay Kumar,23.0,3.0
A Mithun,23.0,1.0
AB Barath,34.0,3.0
VR Aaron,6.0,1.0
YK Pathan,94.0,8.0
I Sharma,0.0,2.0
CS Baugh,93.0,4.0
S Badrinath,40.0,3.0
P Kumar,32.0,3.0
KA Edwards,63.0,4.0
Harbhajan Singh,84.0,6.0
SR Tendulkar,193.0,5.0
Z Khan,12.0,2.0
MM Patel,1.0,1.0
DC Thomas,2.0,1.0
ADS Fletcher,0.0,1.0
TM Dowlin,14.0,1.0
FL Reifer,1.0,1.0
DE Bernard,41.0,2.0
RT Crandon,5.0,1.0
NO Miller,17.0,1.0
GC Tonge,5.0,1.0
R Dravid,215.0,5.0
AM Nayar,0.0,1.0
RS Morton,158.0,6.0
S Chanderpaul,325.0,6.0
RP Singh,23.0,1.0
A Nehra,0.0,1.0
LS Baker,0.0,1.0
RV Uthappa,98.0,2.0
SC Ganguly,179.0,3.0
BC Lara,117.0,3.0
RR Emrit,13.0,2.0
IDR Bradshaw,16.0,3.0
DBL Powell,2.0,2.0
AB Agarkar,42.0,2.0
RR Powar,10.0,2.0
A Kumble,3.0,1.0
S Sreesanth,1.0,1.0
Joginder Sharma,1.0,1.0
