a,b,winner,location,date,a_bat,a_bowl,b_bat,b_bowl
New Zealand,Sri Lanka,New Zealand,Christchurch,2-Jan-07,179.6227541,60.77537424,256.5452038,63.70896687
New Zealand,Sri Lanka,Sri Lanka,Auckland,6-Jan-07,250.1015858,51.31499996,222.1792017,84.98310059
Australia,England,Australia,Melbourne,12-Jan-07,278.0108824,69.37618123,290.2535271,53.88788922
Australia,New Zealand,Australia,Hobart,14-Jan-07,278.0108824,50.75775576,213.6324369,60.55212991
England,New Zealand,England,Hobart,16-Jan-07,277.5982546,53.88788922,213.6324369,60.55212991
Australia,England,Australia,Brisbane,19-Jan-07,284.1057346,72.90153383,256.7507237,42.7327296
India,West Indies,India,Nagpur,21-Jan-07,231.5619664,50.00908863,277.0220407,73.8916729
Australia,New Zealand,Australia,Sydney,21-Jan-07,304.5108824,70.64031279,264.228464,43.05581726
England,New Zealand,New Zealand,Adelaide,23-Jan-07,262.4507237,53.88788922,252.8930191,62.87060886
India,West Indies,India,Cuttack,24-Jan-07,237.3079272,50.80583518,262.1982147,73.8916729
Australia,England,Australia,Adelaide,26-Jan-07,302.1108824,63.28967726,288.2700231,35.00964776
India,West Indies,West Indies,Chennai,27-Jan-07,242.1157092,49.43543823,219.2678081,49.92119817
Australia,New Zealand,Australia,Perth,28-Jan-07,300.8108824,72.90153383,250.4139145,52.0438876
England,New Zealand,New Zealand,Perth,30-Jan-07,290.5200231,35.00964776,251.5639145,65.69845619
India,West Indies,India,Vadodara,31-Jan-07,302.1717802,66.39650083,240.5277356,48.94240127
Australia,England,England,Sydney,2-Feb-07,285.3557346,67.96214131,279.7427056,43.94940844
South Africa,Pakistan,South Africa,Centurion,4-Feb-07,285.8570477,83.07778571,187.269018,59.58503309
Australia,New Zealand,Australia,Melbourne,4-Feb-07,297.611293,53.24638693,263.834578,65.97992327
England,New Zealand,England,Brisbane,6-Feb-07,329.717554,43.94940844,258.4679113,65.97992327
South Africa,Pakistan,Pakistan,Durban,7-Feb-07,313.0436113,68.65525644,261.5167139,72.20709829
Australia,England,England,Melbourne,9-Feb-07,291.4469963,75.08685088,292.3783565,43.94940844
India,Sri Lanka,Sri Lanka,Rajkot,11-Feb-07,256.0303527,51.4831421,252.3245201,58.78691446
South Africa,Pakistan,South Africa,Cape Town,11-Feb-07,276.8909622,70.1231598,253.8667139,71.8473997
Australia,England,England,Sydney,11-Feb-07,293.0253297,75.08685088,294.5650231,43.94940844
India,Sri Lanka,India,Margao,14-Feb-07,271.1795515,52.21682902,273.5245201,56.51813937
South Africa,Pakistan,South Africa,Johannesburg,14-Feb-07,297.8366983,70.59156699,254.1167139,71.8473997
New Zealand,Australia,New Zealand,Wellington,16-Feb-07,227.0662942,73.82271932,260.4169853,68.04055889
India,Sri Lanka,India,Visakhapatnam,17-Feb-07,268.4664948,50.00908863,269.9234985,61.69516267
New Zealand,Australia,New Zealand,Auckland,18-Feb-07,224.1712942,72.4086794,269.0072242,54.81351512
New Zealand,Australia,New Zealand,Hamilton,20-Feb-07,228.9412942,67.70463302,269.3355575,45.20869793
West Indies,Pakistan,West Indies,Kingston,13-Mar-07,244.6385881,68.48161971,282.0487181,71.76629037
England,New Zealand,New Zealand,Gros Islet,16-Mar-07,338.213279,48.4729708,253.1419853,76.88848808
Bangladesh,India,Bangladesh,Port of Spain,17-Mar-07,228.260602,72.66496367,296.4107515,52.21682902
Bangladesh,Sri Lanka,Sri Lanka,Port of Spain,21-Mar-07,228.260602,72.66496367,251.9366952,73.05755678
India,Sri Lanka,Sri Lanka,Port of Spain,23-Mar-07,325.3774182,52.21682902,276.7700286,70.29567407
Australia,South Africa,Australia,Basseterre,24-Mar-07,274.9049191,81.28476491,229.9167139,71.8473997
South Africa,Sri Lanka,South Africa,Providence,28-Mar-07,229.9167139,71.8473997,251.9366952,73.05755678
West Indies,New Zealand,New Zealand,North Sound,29-Mar-07,232.4855142,77.11173241,282.0487181,57.50584003
Australia,Bangladesh,Australia,North Sound,31-Mar-07,274.9049191,81.28476491,228.260602,65.3245467
West Indies,Sri Lanka,Sri Lanka,Providence,1-Apr-07,251.9366952,70.29567407,282.0487181,73.8916729
Bangladesh,New Zealand,New Zealand,North Sound,2-Apr-07,216.6163446,72.66496367,232.4855142,77.11173241
England,Sri Lanka,Sri Lanka,North Sound,4-Apr-07,285.6769191,47.1306802,251.9366952,70.29567407
