Player,Score,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0
HM Nicholls,42.821702877878536,2015-2020,48,46,10,1319,124,36.63,1603,82.28,1,11,5
IS Sodhi,20.2436782547298,2015-2020,32,13,2,67,24,6.09,88,76.13,0,0,4
MJ Santner,32.700578445251566,2015-2020,71,55,22,910,67,27.57,1030,88.34,0,2,3
JDS Neesham,40.11352763289055,2013-2020,62,53,10,1278,97,29.72,1304,98.00,0,6,2
C de Grandhomme,43.45878104539081,2012-2020,41,32,7,697,74,27.88,628,110.98,0,4,2
TWM Latham,40.66068277441535,2012-2020,98,91,10,2658,137,32.81,3192,83.27,4,16,7
KS Williamson,46.697274177849906,2010-2020,150,143,14,6154,148,47.70,7525,81.78,13,39,5
MJ Guptill,47.63730104620168,2009-2020,182,179,19,6803,237,42.51,7752,87.75,16,37,15
TG Southee,30.690661674989872,2008-2020,143,86,32,679,55,12.57,696,97.55,0,1,12
LRPL Taylor,47.503384535635,2006-2020,231,215,39,8570,181,48.69,10267,83.47,21,51,9
