name,score,freq
MJ Guptill,471.0,16.0
DG Brownlie,139.0,7.0
KS Williamson,564.0,16.0
LRPL Taylor,386.0,12.0
L Ronchi,197.0,7.0
JDS Neesham,222.0,10.0
MJ Santner,42.0,3.0
C de Grandhomme,136.0,4.0
TG Southee,72.0,6.0
JS Patel,0.0,1.0
TA Boult,35.0,4.0
Q de Kock,323.0,11.0
HM Amla,677.0,17.0
F du Plessis,569.0,15.0
JP Duminy,362.0,16.0
AB de Villiers,912.0,21.0
DA Miller,217.0,11.0
D Pretorius,71.0,3.0
CH Morris,51.0,3.0
WD Parnell,91.0,4.0
AL Phehlukwayo,59.0,3.0
TWM Latham,225.0,8.0
NT Broom,5.0,4.0
LH Ferguson,4.0,1.0
Imran Tahir,4.0,4.0
F Behardien,160.0,6.0
MN van Wyk,76.0,4.0
RR Rossouw,199.0,6.0
D Wiese,34.0,3.0
KJ Abbott,3.0,1.0
GH Worker,41.0,2.0
GD Elliott,250.0,7.0
C Munro,134.0,4.0
DAJ Bracewell,13.0,2.0
AF Milne,19.0,2.0
BM Wheeler,13.0,1.0
IS Sodhi,5.0,2.0
VD Philander,31.0,3.0
AM Phangiso,10.0,2.0
DW Steyn,14.0,5.0
NL McCullum,92.0,8.0
MJ McClenaghan,52.0,4.0
BB McCullum,504.0,15.0
CJ Anderson,59.0,3.0
DL Vettori,24.0,6.0
M Morkel,22.0,3.0
KD Mills,78.0,10.0
BJ Watling,77.0,3.0
JEC Franklin,174.0,6.0
GC Smith,329.0,10.0
CA Ingram,133.0,3.0
R McLaren,60.0,3.0
RK Kleinveldt,32.0,3.0
LL Tsotsobe,9.0,3.0
RJ Peterson,8.0,4.0
RJ Nicol,57.0,4.0
AM Ellis,41.0,3.0
MD Bates,13.0,1.0
AJ McKay,2.0,2.0
JA Morkel,66.0,4.0
J Botha,21.0,4.0
JD Ryder,97.0,4.0
TS Nethula,0.0,1.0
JH Kallis,179.0,8.0
JL Ontong,17.0,1.0
SB Styris,196.0,5.0
JDP Oram,51.0,3.0
LJ Woodcock,3.0,1.0
GJ Hopkins,13.0,2.0
DR Tuffey,4.0,1.0
SE Bond,0.0,1.0
MV Boucher,153.0,5.0
L Vincent,33.0,3.0
JM How,181.0,3.0
MS Sinclair,105.0,2.0
MR Gillespie,0.0,1.0
HH Gibbs,179.0,3.0
SM Pollock,83.0,4.0
A Nel,40.0,2.0
CK Langeveldt,2.0,1.0
AG Prince,37.0,1.0
AJ Hall,17.0,1.0
PG Fulton,16.0,1.0
SP Fleming,50.0,1.0
CD McMillan,38.0,1.0
M Ntini,0.0,0.0
