name,score,freq
GH Worker,117.0,3.0
C Munro,100.0,3.0
NT Broom,8.0,3.0
LRPL Taylor,515.0,13.0
TWM Latham,131.0,7.0
HM Nicholls,118.0,3.0
CH Gayle,540.0,12.0
CAK Walton,17.0,3.0
SD Hope,25.0,3.0
KA Hope,5.0,2.0
JN Mohammed,28.0,3.0
JO Holder,107.0,5.0
R Powell,70.0,3.0
AR Nurse,30.0,3.0
NO Miller,45.0,2.0
SS Cottrell,11.0,2.0
ST Gabriel,12.0,3.0
TD Astle,64.0,2.0
DAJ Bracewell,10.0,2.0
E Lewis,86.0,2.0
SO Hetmyer,31.0,2.0
RR Beaton,15.0,2.0
KOK Williams,16.0,1.0
KS Williamson,305.0,10.0
MJ Guptill,466.0,11.0
BB McCullum,219.0,10.0
CJ Anderson,205.0,5.0
GD Elliott,71.0,3.0
L Ronchi,43.0,5.0
DL Vettori,8.0,2.0
J Charles,74.0,8.0
LMP Simmons,128.0,8.0
MN Samuels,237.0,6.0
D Ramdin,87.0,9.0
JL Carter,32.0,1.0
DJG Sammy,136.0,6.0
AD Russell,156.0,5.0
JE Taylor,15.0,2.0
SJ Benn,9.0,1.0
KOA Powell,78.0,3.0
KA Edwards,147.0,2.0
DJ Bravo,311.0,9.0
JD Ryder,235.0,7.0
NL McCullum,136.0,6.0
KD Mills,45.0,7.0
TG Southee,50.0,7.0
MJ McClenaghan,3.0,2.0
N Deonarine,38.0,3.0
JDS Neesham,10.0,1.0
DM Bravo,14.0,1.0
SP Narine,22.0,4.0
DR Smith,125.0,6.0
KA Pollard,110.0,7.0
DC Thomas,57.0,2.0
TL Best,8.0,2.0
RJ Nicol,125.0,5.0
DR Flynn,109.0,7.0
AM Ellis,42.0,2.0
TA Boult,7.0,3.0
JDP Oram,80.0,5.0
BJ Watling,172.0,3.0
R Rampaul,9.0,1.0
TS Nethula,12.0,2.0
DG Brownlie,1.0,1.0
S Chattergoon,7.0,2.0
RR Sarwan,113.0,4.0
S Chanderpaul,143.0,3.0
SE Findlay,11.0,2.0
DBL Powell,5.0,3.0
BP Nash,16.0,2.0
FH Edwards,14.0,2.0
XM Marshall,2.0,2.0
JM How,27.0,2.0
BC Lara,37.0,1.0
CD Collymore,0.0,1.0
PG Fulton,0.0,1.0
SP Fleming,45.0,1.0
HJH Marshall,15.0,1.0
SB Styris,80.0,1.0
CD McMillan,33.0,1.0
JEC Franklin,0.0,0.0
SE Bond,0.0,0.0
MJ Mason,0.0,0.0
