name,score,freq
Mohammad Shahzad,49.0,3.0
Ihsanullah,10.0,1
Rahmat Shah,36.0,1
Hashmatullah Shahidi,97.0,1
Asghar Afghan,107.0,2.0
Mohammad Nabi,59.0,3.0
Najibullah Zadran,6.0,2.0
Gulbadin Naib,17.0,2.0
Fakhar Zaman,0.0,1
Imam-ul-Haq,80.0,1
Babar Azam,66.0,1
Haris Sohail,13.0,1
Shoaib Malik,51.0,1.0
Sarfaraz Ahmed,8.0,1
Asif Ali,7.0,1
Mohammad Nawaz(3),10.0,1
Hasan Ali,6.0,1
Sharjeel Khan,25.0,1.0
Ahmed Shehzad,50.0,1.0
Mohammad Hafeez,18.0,2.0
Sohaib Maqsood,13.0,1.0
Misbah-ul-Haq,40.0,2.0
Umar Akmal,102.0,1.0
Shahid Afridi,6.0,1.0
Anwar Ali,21.0,1.0
Umar Gul,15.0,1.0
Saeed Ajmal,1.0,1.0
Noor Ali Zadran,53.0,2.0
Nawroz Mangal,46.0,2.0
Samiullah Shinwari,46.0,2.0
Mirwais Ashraf,16.0,2.0
Dawlat Zadran,12.0,2.0
Shapoor Zadran,3.0,2.0
Amir Hamza,0.0,2.0
Karim Sadiq,40.0,1.0
Imran Farhat,52.0,1.0
Asad Shafiq,20.0,1.0
Younis Khan,70.0,1.0
Wahab Riaz,0.0,0.0
