name,score,freq
UT Khawaja,328.0,8.0
AJ Finch,485.0,9.0
SE Marsh,374.0,11.0
GJ Maxwell,715.0,15.0
MP Stoinis,16.0,3.0
PSP Handscomb,175.0,6.0
AT Carey,80.0,3.0
JP Behrendorff,6.0,1
KW Richardson,16.0,3.0
Shan Masood,111.0,5.0
Abid Ali,112.0,2.0
Haris Sohail,332.0,6.0
Mohammad Rizwan,282.0,8.0
Umar Akmal,637.0,22.0
Saad Ali,11.0,2.0
Imad Wasim,204.0,8.0
Yasir Shah,25.0,4.0
Usman Shinwari,6.0,3.0
NM Coulter-Nile,2.0,1.0
Junaid Khan,5.0,4.0
PJ Cummins,18.0,4.0
Imam-ul-Haq,63.0,3.0
Shoaib Malik,421.0,15.0
Mohammad Hasnain,0.0,1.0
Faheem Ashraf,42.0,2.0
DA Warner,569.0,12.0
TM Head,270.0,5.0
SPD Smith,501.0,10.0
MS Wade,187.0,7.0
JP Faulkner,112.0,6.0
MA Starc,35.0,6.0
Azhar Ali,128.0,6.0
Sharjeel Khan,250.0,5.0
Babar Azam,282.0,5.0
Mohammad Hafeez,233.0,9.0
Mohammad Amir,38.0,6.0
Wahab Riaz,46.0,5.0
Hasan Ali,22.0,3.0
Asad Shafiq,248.0,9.0
MR Marsh,4.0,2.0
JR Hazlewood,0.0,1.0
CA Lynn,16.0,1.0
B Stanlake,1.0,1.0
Mohammad Nawaz(3),1.0,1.0
Ahmed Shehzad,202.0,8.0
Sarfaraz Ahmed,147.0,5.0
Misbah-ul-Haq,337.0,13.0
Sohaib Maqsood,63.0,2.0
Shahid Afridi,298.0,17.0
Ehsan Adil,15.0,1.0
Sohail Khan,4.0,1.0
Rahat Ali,6.0,1.0
MJ Clarke,585.0,14.0
SR Watson,475.0,11.0
GJ Bailey,143.0,6.0
PJ Hughes,5.0,1.0
BJ Haddin,268.0,14.0
XJ Doherty,1.0,1.0
Fawad Alam,144.0,6.0
Umar Amin,19.0,1.0
Anwar Ali,22.0,2.0
Sohail Tanvir,31.0,4.0
Zulfiqar Babar,32.0,3.0
Mohammad Irfan,12.0,3.0
Raza Hasan,0.0,1.0
SA Abbott,3.0,1.0
MG Johnson,46.0,6.0
Nasir Jamshed,177.0,4.0
Kamran Akmal,333.0,13.0
Abdur Rehman,12.0,1.0
DJ Hussey,56.0,4.0
MEK Hussey,427.0,10.0
DT Christian,23.0,3.0
JL Pattinson,2.0,1.0
Saeed Ajmal,28.0,8.0
Aizaz Cheema,2.0,1.0
RT Ponting,176.0,7.0
CL White,258.0,7.0
JJ Krejza,7.0,1.0
B Lee,17.0,2.0
SW Tait,0.0,1.0
Younis Khan,189.0,12.0
Abdul Razzaq,20.0,1.0
Salman Butt,220.0,10.0
Khalid Latif,0.0,1.0
Naved-ul-Hasan,83.0,6.0
Iftikhar Anjum,22.0,3.0
Mohammad Asif,1.0,4.0
AC Voges,24.0,1.0
JR Hopes,134.0,6.0
NM Hauritz,100.0,7.0
RJ Harris,6.0,2.0
CJ McKay,0.0,1.0
Mohammad Yousuf,126.0,5.0
Umar Gul,19.0,5.0
TD Paine,29.0,1.0
CJ Ferguson,101.0,5.0
MJ North,6.0,2.0
A Symonds,82.0,4.0
Yasir Arafat,26.0,2.0
Shoaib Akhtar,27.0,2.0
NW Bracken,4.0,2.0
SR Clark,2.0,1.0
BW Hilfenhaus,4.0,1.0
