a,b,winner,location,date,a_bat,a_bowl,b_bat,b_bowl
Pakistan,Bangladesh,Pakistan,Lahore,"Apr 8, 2008",237.57000066902435,50.036054576558556,300.4290978646893,61.85165251529973
Pakistan,Bangladesh,Pakistan,Faisalabad,"Apr 11, 2008",214.33917713961256,65.02206856257254,329.6290978646893,61.85165251529973
Pakistan,Bangladesh,Pakistan,Lahore,"Apr 13, 2008",215.08917713961256,58.94797936626662,285.0287118655664,48.05570161461425
Pakistan,Bangladesh,Pakistan,Multan,"Apr 16, 2008",180.68338607876177,58.94797936626664,267.5020451988997,48.12857422085672
Pakistan,Bangladesh,Pakistan,Karachi,"Apr 19, 2008",181.7500527454284,58.94797936626662,303.38576453135596,48.12857422085672
Bangladesh,Pakistan,Pakistan,Dhaka,"Jun 8, 2008",202.5398791145233,37.25696341629825,329.160764531356,49.66559167586962
Pakistan,Bangladesh,Pakistan,Karachi,"Jul 4, 2008",164.10408805367246,45.448147829878494,243.0417162849419,36.663545397362974
Bangladesh,Pakistan,Pakistan,Dambulla,"Jun 21, 2010",235.0075208681756,63.81245650872036,232.21094748985598,62.10499211775254
Bangladesh,Pakistan,Pakistan,Dhaka,"Dec 1, 2011",179.24568220278354,68.3829765952178,287.52578305471354,66.23457060429463
Bangladesh,Pakistan,Pakistan,Dhaka,"Dec 3, 2011",218.07583314731852,50.873267679029205,283.98411638804686,77.9639903378688
Bangladesh,Pakistan,Pakistan,Chattogram,"Dec 6, 2011",208.03565861538695,47.673536156629886,280.55646465742456,88.04477465159428
Bangladesh,Pakistan,Pakistan,Dhaka,"Mar 11, 2012",271.45037157783776,62.29620492681556,296.84866495398694,68.14860350701892
Bangladesh,Pakistan,Pakistan,Dhaka,"Mar 22, 2012",273.8800000049662,64.06351496436153,263.0708563006331,68.14860350701892
Bangladesh,Pakistan,Pakistan,Dhaka,"Mar 4, 2014",289.8070824915275,71.97150206608862,293.543753383992,67.23392859676441
Bangladesh,Pakistan,Bangladesh,Dhaka,"Apr 17, 2015",280.78025028107527,62.91099006290531,264.9315060954355,63.611987936727985
Bangladesh,Pakistan,Bangladesh,Dhaka,"Apr 19, 2015",313.09530120309944,76.36488179465861,283.5957918097212,63.611987936727985
Bangladesh,Pakistan,Bangladesh,Dhaka,"Apr 22, 2015",313.6705959083941,76.36488179465861,248.73343452485898,48.28550337508074
Bangladesh,Pakistan,Bangladesh,Abu Dhabi,"Sep 26, 2018",299.6032859369396,53.276477645019995,237.895566992432,49.381331374170976
Bangladesh,Pakistan,Pakistan,Lord's,"Jul 5, 2019",317.55119035803045,59.99790252268967,356.4042511882747,68.13697629815087
