name,score,freq
Liton Das,6.0,1
Soumya Sarkar,164.0,4.0
Mominul Haque,56.0,2.0
Mushfiqur Rahim,426.0,13.0
Mohammad Mithun,60.0,1
Imrul Kayes,140.0,4.0
Mahmudullah,272.0,17.0
Mehidy Hasan Miraz,12.0,1
Mashrafe Mortaza,114.0,10.0
Rubel Hossain,16.0,2.0
Mustafizur Rahman,0.0,1
Fakhar Zaman,1.0,1
Imam-ul-Haq,83.0,1
Babar Azam,1.0,1
Sarfaraz Ahmed,120.0,7.0
Shoaib Malik,205.0,8.0
Shadab Khan,4.0,1
Asif Ali,31.0,1
Mohammad Nawaz(3),8.0,1
Hasan Ali,8.0,1
Shaheen Shah Afridi,14.0,1
Junaid Khan,7.0,3.0
Azhar Ali,209.0,3.0
Sami Aslam,45.0,1.0
Mohammad Hafeez,243.0,9.0
Haris Sohail,147.0,3.0
Mohammad Rizwan,84.0,3.0
Fawad Alam,101.0,7.0
Saad Nasim,99.0,3.0
Wahab Riaz,69.0,5.0
Umar Gul,44.0,7.0
Zulfiqar Babar,1.0,1.0
Tamim Iqbal,676.0,16.0
Shakib Al Hasan,489.0,14.0
Sabbir Rahman,15.0,1.0
Nasir Hossain,202.0,6.0
Saeed Ajmal,15.0,4.0
Rahat Ali,1.0,1.0
Anamul Haque,100.0,1.0
Ahmed Shehzad,103.0,1.0
Misbah-ul-Haq,247.0,10.0
Sohaib Maqsood,2.0,1.0
Abdur Rehman,13.0,3.0
Shahid Afridi,354.0,11.0
Umar Akmal,238.0,7.0
Nasir Jamshed,156.0,5.0
Younis Khan,161.0,9.0
Hammad Azam,30.0,1.0
Aizaz Cheema,9.0,1.0
Nazimuddin,49.0,3.0
Jahurul Islam,34.0,3.0
Abdur Razzak,98.0,11.0
Shahadat Hossain,10.0,5.0
Asad Shafiq,28.0,3.0
Shafiul Islam,1.0,3.0
Sohail Tanvir,11.0,4.0
Shahriar Nafees,76.0,7.0
Alok Kapali,29.0,3.0
Farhad Reza,86.0,8.0
Elias Sunny,1.0,2.0
Imran Farhat,82.0,3.0
Naeem Islam,5.0,1.0
Shahzaib Hasan,50.0,1.0
Umar Amin,22.0,1.0
Kamran Akmal,194.0,5.0
Abdul Razzaq,21.0,1.0
Junaid Siddique,103.0,3.0
Mohammad Ashraful,151.0,7.0
Raqibul Hasan,20.0,3.0
Salman Butt,577.0,7.0
Mohammad Yousuf,260.0,6.0
Dolar Mahmud,0.0,1.0
Naumanullah,5.0,1.0
Mohammad Asif,5.0,1.0
Aftab Ahmed,57.0,5.0
Dhiman Ghosh,74.0,5.0
Bazid Khan,53.0,2.0
Iftikhar Anjum,5.0,1.0
