name,score,freq
JM Vince,76.0,2.0
JM Bairstow,348.0,6.0
JE Root,668.0,14.0
EJG Morgan,821.0,22.0
JC Buttler,419.0,11.0
BA Stokes,364.0,8.0
MM Ali,136.0,9.0
CR Woakes,63.0,4.0
DJ Willey,37.0,4.0
TK Curran,60.0,2.0
AU Rashid,28.0,4.0
Fakhar Zaman,254.0,5.0
Abid Ali,5.0,1
Babar Azam,560.0,14.0
Mohammad Hafeez,513.0,17.0
Sarfaraz Ahmed,600.0,12.0
Shoaib Malik,305.0,12.0
Asif Ali,142.0,4.0
Imad Wasim,220.0,8.0
Hasan Ali,47.0,7.0
Shaheen Shah Afridi,26.0,2.0
Mohammad Hasnain,28.0,1
Imam-ul-Haq,192.0,3.0
JJ Roy,621.0,12.0
JL Denly,17.0,1.0
Haris Sohail,55.0,2.0
Faheem Ashraf,16.0,2.0
Junaid Khan,0.0,2.0
AD Hales,407.0,10.0
LE Plunkett,9.0,1.0
MA Wood,11.0,2.0
JT Ball,2.0,1.0
Azhar Ali,488.0,13.0
LA Dawson,10.0,1.0
CJ Jordan,15.0,1.0
Sharjeel Khan,100.0,5.0
Mohammad Rizwan,69.0,5.0
Mohammad Nawaz(3),66.0,4.0
Sami Aslam,33.0,3.0
Umar Gul,86.0,9.0
Wahab Riaz,67.0,6.0
Yasir Shah,47.0,4.0
Mohammad Amir,64.0,2.0
JWA Taylor,149.0,4.0
Ahmed Shehzad,13.0,1.0
Anwar Ali,54.0,3.0
Mohammad Irfan,3.0,4.0
Iftikhar Ahmed,8.0,2.0
Zafar Gohar,15.0,1.0
RJW Topley,0.0,1.0
Bilal Asif,2.0,1.0
Younis Khan,29.0,3.0
Asad Shafiq,203.0,8.0
Umar Akmal,230.0,9.0
Misbah-ul-Haq,108.0,4.0
Shahid Afridi,205.0,9.0
Adnan Akmal,11.0,2.0
Abdur Rehman,13.0,2.0
Saeed Ajmal,34.0,8.0
AN Cook,323.0,4.0
KP Pietersen,281.0,4.0
IJL Trott,169.0,8.0
C Kieswetter,52.0,2.0
SR Patel,34.0,2.0
TT Bresnan,34.0,6.0
Imran Farhat,66.0,3.0
Aizaz Cheema,6.0,2.0
RS Bopara,166.0,5.0
SCJ Broad,7.0,3.0
GP Swann,25.0,3.0
AJ Strauss,317.0,5.0
SM Davies,197.0,5.0
IR Bell,55.0,2.0
PD Collingwood,84.0,4.0
LJ Wright,49.0,2.0
Kamran Akmal,201.0,5.0
Mohammad Yousuf,93.0,5.0
Fawad Alam,153.0,5.0
Abdul Razzaq,86.0,3.0
Shoaib Akhtar,6.0,4.0
MH Yardy,27.0,4.0
JM Anderson,5.0,2.0
