name,score,freq
GH Worker,29.0,2.0
C Munro,198.0,7.0
KS Williamson,898.0,17.0
LRPL Taylor,1068.0,24.0
TWM Latham,237.0,13.0
HM Nicholls,223.0,8.0
C de Grandhomme,106.0,4.0
TG Southee,83.0,8.0
IS Sodhi,37.0,2.0
TA Boult,26.0,4.0
LH Ferguson,10.0,3.0
Imam-ul-Haq,52.0,3.0
Fakhar Zaman,239.0,6.0
Babar Azam,222.0,9.0
Mohammad Hafeez,664.0,21.0
Shoaib Malik,160.0,10.0
Sarfaraz Ahmed,368.0,16.0
Shadab Khan,149.0,7.0
Imad Wasim,51.0,2.0
Hasan Ali,69.0,4.0
Shaheen Shah Afridi,0.0,1.0
Junaid Khan,0.0,1.0
MJ Guptill,947.0,22.0
MJ Santner,72.0,5.0
Umar Amin,2.0,1.0
Haris Sohail,377.0,9.0
Faheem Ashraf,58.0,5.0
Aamer Yamin,32.0,1.0
Mohammad Nawaz(3),23.0,1.0
Rumman Raees,27.0,3.0
TD Astle,5.0,2.0
Azhar Ali,34.0,5.0
Mohammad Amir,127.0,8.0
Ahmed Shehzad,463.0,14.0
Mohammad Rizwan,16.0,1.0
Wahab Riaz,42.0,7.0
Rahat Ali,0.0,1.0
Mohammad Irfan,1.0,6.0
BB McCullum,369.0,12.0
GD Elliott,177.0,5.0
CJ Anderson,97.0,5.0
L Ronchi,141.0,7.0
AF Milne,0.0,1.0
MJ Henry,49.0,2.0
MJ McClenaghan,37.0,2.0
Sohaib Maqsood,10.0,1.0
Anwar Ali,54.0,3.0
NL McCullum,188.0,8.0
Younis Khan,332.0,17.0
Misbah-ul-Haq,373.0,9.0
Shahid Afridi,531.0,17.0
Umar Akmal,260.0,14.0
Bilawal Bhatti,9.0,2.0
Ehsan Adil,7.0,2.0
DG Brownlie,137.0,4.0
Nasir Jamshed,30.0,2.0
Asad Shafiq,66.0,6.0
Zulfiqar Babar,2.0,1.0
Sohail Tanvir,92.0,6.0
AP Devcich,84.0,3.0
JDS Neesham,3.0,2.0
DL Vettori,177.0,7.0
JM How,53.0,4.0
JEC Franklin,87.0,4.0
SB Styris,180.0,8.0
JDP Oram,96.0,6.0
KD Mills,36.0,6.0
Kamran Akmal,247.0,10.0
Abdul Razzaq,161.0,9.0
Abdur Rehman,1.0,2.0
Umar Gul,52.0,7.0
Shoaib Akhtar,3.0,3.0
JD Ryder,162.0,3.0
HK Bennett,7.0,2.0
LJ Woodcock,11.0,1.0
AJ Redmond,110.0,4.0
NT Broom,3.0,3.0
SE Bond,25.0,3.0
Salman Butt,84.0,3.0
Khalid Latif,128.0,3.0
Saeed Ajmal,50.0,4.0
Mohammad Yousuf,93.0,3.0
IG Butler,4.0,1.0
Imran Nazir,28.0,1.0
Naved-ul-Hasan,8.0,1.0
