name,score,freq
Imam-ul-Haq,271.0,5.0
Fakhar Zaman,198.0,6.0
Babar Azam,226.0,6.0
Mohammad Hafeez,651.0,26.0
Shoaib Malik,522.0,19.0
Mohammad Rizwan,14.0,2.0
Shadab Khan,55.0,3.0
Imad Wasim,90.0,2.0
Mohammad Amir,6.0,1
Shaheen Shah Afridi,1.0,2.0
Q de Kock,419.0,12.0
HM Amla,1045.0,24.0
RR Hendricks,169.0,5.0
F du Plessis,459.0,15.0
HE van der Dussen,241.0,4.0
DA Miller,376.0,19.0
AL Phehlukwayo,80.0,2.0
DW Steyn,42.0,6.0
K Rabada,26.0,2.0
BE Hendricks,2.0,1.0
Imran Tahir,9.0,5.0
Hasan Ali,60.0,2.0
Sarfaraz Ahmed,97.0,4.0
Hussain Talat,2.0,1.0
Faheem Ashraf,0.0,1.0
H Klaasen,0.0,1.0
AB de Villiers,1413.0,30.0
JP Duminy,489.0,17.0
WD Parnell,92.0,5.0
CH Morris,29.0,2.0
M Morkel,35.0,8.0
Azhar Ali,9.0,1.0
Ahmed Shehzad,348.0,9.0
Younis Khan,628.0,20.0
Misbah-ul-Haq,727.0,22.0
Sohaib Maqsood,206.0,6.0
Umar Akmal,215.0,10.0
Shahid Afridi,536.0,24.0
Wahab Riaz,169.0,12.0
Sohail Khan,3.0,1.0
Rahat Ali,1.0,1.0
Mohammad Irfan,13.0,9.0
RR Rossouw,6.0,1.0
KJ Abbott,17.0,2.0
Umar Amin,93.0,6.0
Asad Shafiq,117.0,8.0
Bilawal Bhatti,61.0,3.0
Anwar Ali,51.0,3.0
Abdur Rehman,71.0,7.0
Sohail Tanvir,94.0,9.0
Saeed Ajmal,31.0,16.0
H Davids,7.0,1.0
R McLaren,154.0,11.0
Nasir Jamshed,114.0,8.0
Junaid Khan,44.0,8.0
GC Smith,597.0,20.0
JH Kallis,526.0,14.0
VD Philander,14.0,1.0
RJ Peterson,93.0,5.0
LL Tsotsobe,25.0,5.0
CA Ingram,305.0,13.0
AM Phangiso,0.0,1.0
Imran Farhat,157.0,5.0
Kamran Akmal,234.0,14.0
F Behardien,134.0,5.0
RK Kleinveldt,18.0,1.0
Umar Gul,15.0,5.0
J Botha,96.0,7.0
Shahzaib Hasan,39.0,1.0
Mohammad Yousuf,455.0,10.0
Fawad Alam,123.0,5.0
Abdul Razzaq,214.0,8.0
Shoaib Akhtar,8.0,6.0
Zulqarnain Haider,48.0,4.0
JA Morkel,68.0,5.0
J Theron,5.0,1.0
CK Langeveldt,20.0,4.0
HH Gibbs,228.0,6.0
MV Boucher,149.0,6.0
SM Pollock,169.0,7.0
A Nel,8.0,2.0
M Ntini,21.0,4.0
Imran Nazir,114.0,6.0
Iftikhar Anjum,15.0,5.0
Yasir Hameed,28.0,2.0
Mohammad Asif,7.0,4.0
JM Kemp,84.0,5.0
Inzamam-ul-Haq,73.0,4.0
Naved-ul-Hasan,11.0,3.0
Azhar Mahmood,1.0,1.0
AG Prince,41.0,2.0
LE Bosman,4.0,1.0
Mohammad Sami,46.0,1.0
