name,score,freq
Fakhar Zaman,252.0,7.0
Imam-ul-Haq,178.0,4.0
Babar Azam,465.0,8.0
Haris Sohail,40.0,1
Sarfaraz Ahmed,283.0,15.0
Iftikhar Ahmed,32.0,1
Imad Wasim,51.0,5.0
Wahab Riaz,8.0,4.0
MD Gunathilaka,27.0,2.0
S Samarawickrama,6.0,3.0
WIA Fernando,0.0,1
BOP Fernando,1.0,1
HDRL Thirimanne,663.0,18.0
GSNFG Jayasuriya,96.0,1
MD Shanaka,68.0,1
PWH de Silva,30.0,1
I Udana,1.0,1
CBRLS Kumara,1.0,1
N Pradeep,4.0,4.0
WU Tharanga,870.0,31.0
LD Chandimal,637.0,28.0
N Dickwella,135.0,6.0
TAM Siriwardana,145.0,10.0
S Prasanna,115.0,12.0
NLTC Perera,323.0,24.0
JDF Vandersay,49.0,4.0
PVD Chameera,21.0,2.0
MVT Fernando,7.0,1.0
Faheem Ashraf,20.0,2.0
A Dananjaya,70.0,4.0
RAS Lakmal,61.0,9.0
PLS Gamage,4.0,3.0
Mohammad Hafeez,1177.0,32.0
Shoaib Malik,644.0,23.0
CK Kapugedera,289.0,14.0
Ahmed Shehzad,662.0,18.0
Shadab Khan,52.0,1.0
Hasan Ali,18.0,2.0
Rumman Raees,0.0,1.0
Junaid Khan,2.0,4.0
BKG Mendis,39.0,3.0
AD Mathews,917.0,29.0
DM de Silva,1.0,1.0
DAS Gunaratne,27.0,1.0
SL Malinga,113.0,22.0
Azhar Ali,461.0,10.0
Mohammad Amir,84.0,5.0
MDKJ Perera,428.0,12.0
TM Dilshan,1133.0,32.0
Mohammad Rizwan,136.0,4.0
Anwar Ali,81.0,3.0
Yasir Shah,10.0,2.0
Rahat Ali,0.0,3.0
Mohammad Irfan,10.0,3.0
SMA Priyanjan,148.0,6.0
SS Pathirana,66.0,3.0
Sharjeel Khan,144.0,9.0
Misbah-ul-Haq,934.0,24.0
Fawad Alam,298.0,8.0
Umar Akmal,772.0,23.0
Sohaib Maqsood,287.0,9.0
Shahid Afridi,540.0,28.0
Saeed Ajmal,86.0,11.0
KC Sangakkara,1147.0,31.0
DPMD Jayawardene,1006.0,28.0
KMDN Kulasekara,156.0,16.0
Younis Khan,556.0,20.0
PC de Silva,8.0,2.0
Bilawal Bhatti,19.0,2.0
Umar Gul,107.0,13.0
Abdur Rehman,11.0,2.0
KDK Vithanage,41.0,2.0
SMSM Senanayake,55.0,5.0
BAW Mendis,20.0,4.0
FDM Karunaratne,16.0,2.0
Imran Farhat,189.0,5.0
Asad Shafiq,89.0,3.0
Sohail Tanvir,35.0,7.0
BMAJ Mendis,59.0,5.0
HMRKB Herath,4.0,2.0
MF Maharoof,135.0,8.0
Nasir Jamshed,19.0,3.0
Hammad Azam,4.0,1.0
LPC Silva,236.0,6.0
Aizaz Cheema,9.0,2.0
CRD Fernando,2.0,4.0
Abdul Razzaq,126.0,8.0
CKB Kulasekara,0.0,1.0
Kamran Akmal,294.0,12.0
TT Samaraweera,68.0,6.0
M Muralitharan,51.0,5.0
Shahzaib Hasan,11.0,1.0
Salman Butt,272.0,8.0
Umar Amin,7.0,1.0
Shoaib Akhtar,2.0,2.0
Mohammad Asif,8.0,3.0
Imran Nazir,113.0,4.0
Mohammad Yousuf,126.0,7.0
Naved-ul-Hasan,63.0,2.0
Iftikhar Anjum,30.0,5.0
ST Jayasuriya,181.0,9.0
SHT Kandamby,180.0,5.0
KTGD Prasad,1.0,1.0
HMCM Bandara,48.0,4.0
T Thushara,44.0,5.0
Khurram Manzoor,87.0,3.0
Sohail Khan,4.0,1.0
J Mubarak,8.0,1.0
WPUJC Vaas,4.0,1.0
Mansoor Amjad,5.0,1.0
KS Lokuarachchi,2.0,1.0
HAPW Jayawardene,23.0,3.0
Yasir Hameed,82.0,3.0
Najaf Shah,0.0,1.0
Mohammad Sami,22.0,1.0
SM Warnapura,5.0,1.0
PDRL Perera,0.0,1.0
MKDI Amerasinghe,1.0,1.0
