name,score,freq
E Lewis,98.0,4.0
CAK Walton,36.0,4.0
KOA Powell,95.0,3.0
SD Hope,110.0,3.0
JN Mohammed,151.0,3.0
JL Carter,37.0,3.0
JO Holder,149.0,7.0
AR Nurse,88.0,3.0
V Permaul,8.0,1
D Bishoo,20.0,5.0
Kamran Akmal,212.0,10.0
Ahmed Shehzad,317.0,13.0
Babar Azam,514.0,6.0
Mohammad Hafeez,635.0,15.0
Shoaib Malik,438.0,12.0
Sarfaraz Ahmed,189.0,6.0
Imad Wasim,88.0,5.0
AS Joseph,17.0,2.0
ST Gabriel,3.0,3.0
Azhar Ali,110.0,3.0
Sharjeel Khan,116.0,3.0
Mohammad Rizwan,21.0,3.0
Mohammad Nawaz(3),23.0,2.0
KC Brathwaite,85.0,3.0
DM Bravo,363.0,14.0
MN Samuels,501.0,14.0
D Ramdin,142.0,6.0
KA Pollard,106.0,7.0
SP Narine,50.0,7.0
SJ Benn,16.0,2.0
J Charles,137.0,7.0
CR Brathwaite,29.0,2.0
Wahab Riaz,36.0,7.0
Mohammad Amir,3.0,1.0
Hasan Ali,2.0,1.0
DR Smith,55.0,2.0
CH Gayle,341.0,11.0
LMP Simmons,420.0,10.0
DJG Sammy,166.0,10.0
AD Russell,45.0,2.0
Nasir Jamshed,155.0,6.0
Younis Khan,200.0,5.0
Haris Sohail,17.0,2.0
Misbah-ul-Haq,616.0,15.0
Sohaib Maqsood,50.0,1.0
Umar Akmal,306.0,9.0
Shahid Afridi,212.0,12.0
Sohail Khan,1.0,1.0
Mohammad Irfan,8.0,4.0
DS Smith,73.0,7.0
DJ Bravo,186.0,10.0
Saeed Ajmal,33.0,7.0
KAJ Roach,46.0,7.0
Asad Shafiq,165.0,7.0
Asad Ali,13.0,2.0
Imran Farhat,2.0,1.0
Junaid Khan,2.0,3.0
RR Sarwan,264.0,7.0
Taufeeq Umar,3.0,1.0
Usman Salahuddin,13.0,2.0
Mohammad Salman,22.0,3.0
KA Edwards,90.0,5.0
Hammad Azam,37.0,2.0
Tanvir Ahmed,18.0,1.0
R Rampaul,9.0,2.0
CS Baugh,33.0,4.0
A Martin,4.0,1.0
S Chanderpaul,209.0,5.0
DC Thomas,0.0,1.0
DM Richards,1.0,1.0
ADS Fletcher,7.0,1.0
TM Dowlin,0.0,1.0
FL Reifer,7.0,1.0
DE Bernard,6.0,1.0
NO Miller,68.0,4.0
TL Best,8.0,1.0
GC Tonge,4.0,1.0
Imran Nazir,11.0,2.0
Mohammad Yousuf,60.0,2.0
Salman Butt,31.0,3.0
Khurram Manzoor,99.0,3.0
S Chattergoon,39.0,3.0
XM Marshall,27.0,3.0
SE Findlay,17.0,2.0
BP Nash,10.0,2.0
JE Taylor,22.0,4.0
DBL Powell,7.0,4.0
LS Baker,2.0,2.0
Sohail Tanvir,26.0,1.0
Iftikhar Anjum,18.0,2.0
Umar Gul,13.0,2.0
Fawad Alam,26.0,1.0
BC Lara,37.0,1.0
CD Collymore,8.0,1.0
Inzamam-ul-Haq,36.0,1.0
Naved-ul-Hasan,11.0,1.0
Danish Kaneria,0.0,1.0
