name,score,freq
HM Amla,1024.0,13.0
Q de Kock,117.0,4.0
CH Morris,49.0,2.0
F du Plessis,206.0,6.0
AB de Villiers,1147.0,17.0
JP Duminy,473.0,13.0
ADS Fletcher,35.0,3.0
J Charles,80.0,2.0
DM Bravo,177.0,6.0
MN Samuels,336.0,12.0
D Ramdin,235.0,16.0
KA Pollard,231.0,9.0
JO Holder,138.0,8.0
CR Brathwaite,24.0,5.0
SP Narine,18.0,1
SJ Benn,42.0,6.0
JE Taylor,83.0,9.0
RR Rossouw,393.0,7.0
F Behardien,39.0,5.0
KJ Abbott,6.0,2.0
AM Phangiso,3.0,2.0
K Rabada,1.0,1.0
Imran Tahir,0.0,1.0
DA Miller,297.0,8.0
DR Smith,160.0,6.0
CH Gayle,236.0,13.0
JL Carter,90.0,6.0
LMP Simmons,0.0,1.0
DJG Sammy,292.0,16.0
AD Russell,123.0,6.0
N Deonarine,139.0,5.0
SS Cottrell,3.0,2.0
MN van Wyk,18.0,1.0
WD Parnell,12.0,1.0
LR Johnson,19.0,3.0
VD Philander,4.0,1.0
DW Steyn,9.0,4.0
M Morkel,16.0,3.0
DS Smith,165.0,4.0
RR Sarwan,138.0,4.0
S Chanderpaul,342.0,9.0
DJ Bravo,298.0,12.0
DC Thomas,15.0,1.0
KAJ Roach,2.0,1.0
GC Smith,369.0,12.0
JH Kallis,537.0,12.0
DM Richards,157.0,4.0
MV Boucher,122.0,5.0
J Botha,48.0,4.0
R McLaren,26.0,4.0
RE van der Merwe,10.0,1.0
CK Langeveldt,6.0,3.0
LL Tsotsobe,4.0,1.0
DE Bernard,13.0,1.0
AN Petersen,17.0,2.0
R Rampaul,18.0,5.0
NO Miller,13.0,2.0
BA Parchment,82.0,5.0
PA Browne,118.0,3.0
RS Morton,77.0,4.0
RN Lewis,43.0,2.0
HH Gibbs,222.0,5.0
SM Pollock,43.0,4.0
S Chattergoon,134.0,3.0
DBL Powell,48.0,3.0
FH Edwards,20.0,3.0
JL Ontong,23.0,1.0
BC Lara,21.0,1.0
IDR Bradshaw,20.0,1.0
CD Collymore,12.0,1.0
AG Prince,0.0,0.0
LE Bosman,0.0,0.0
AJ Hall,0.0,0.0
A Nel,0.0,0.0
M Ntini,0.0,0.0
