Player,Score,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0
PWH de Silva,44.20892207989997,2017-2020,15,13,3,190,42,19.00,169,112.42,0,0,2
WIA Fernando,50.30016539050536,2016-2020,18,18,0,653,127,36.27,676,96.59,2,3,2
PADLR Sandakan,10.872924598898557,2016-2020,24,14,4,34,6,3.40,98,34.69,0,0,3
DM de Silva,34.10832916028249,2016-2020,45,42,7,895,84,25.57,1154,77.55,0,5,3
BKG Mendis,42.178729088594636,2016-2020,76,74,3,2167,119,30.52,2559,84.68,2,17,10
MDKJ Perera,43.82040722159682,2013-2020,101,96,5,2825,135,31.04,3051,92.59,5,14,9
N Pradeep,11.198216580033563,2012-2020,45,23,16,29,7,4.14,77,37.66,0,0,4
I Udana,36.97079217321494,2012-2020,18,15,3,190,78,15.83,200,95.00,0,1,2
FDM Karunaratne,33.30979189948651,2011-2020,31,27,2,683,97,27.32,920,74.23,0,5,3
NLTC Perera,43.047251592734774,2009-2020,164,131,16,2316,140,20.13,2057,112.59,1,10,11
AD Mathews,40.15429983384167,2008-2020,217,187,48,5830,139,41.94,6997,83.32,3,40,15
