name,score,freq
MJ Guptill,710.0,20.0
C Munro,137.0,5.0
KS Williamson,673.0,17.0
LRPL Taylor,715.0,25.0
HM Nicholls,216.0,6.0
JDS Neesham,170.0,5.0
N Dickwella,131.0,3.0
DM de Silva,36.0,1
MDKJ Perera,149.0,4.0
BKG Mendis,38.0,3.0
MD Shanaka,2.0,1
NLTC Perera,289.0,11.0
MD Gunathilaka,250.0,7.0
PVD Chameera,23.0,4.0
SL Malinga,51.0,7.0
PADLR Sandakan,12.0,3.0
N Pradeep,9.0,4.0
TL Seifert,33.0,2.0
TG Southee,61.0,8.0
LD Chandimal,176.0,12.0
DAS Gunaratne,17.0,2.0
S Prasanna,17.0,3.0
MJ Henry,26.0,2.0
IS Sodhi,0.0,1.0
TWM Latham,200.0,10.0
L Ronchi,431.0,12.0
MJ Santner,59.0,2.0
TM Dilshan,988.0,24.0
HDRL Thirimanne,336.0,14.0
AD Mathews,392.0,17.0
TAM Siriwardana,117.0,3.0
CK Kapugedera,49.0,5.0
KMDN Kulasekara,212.0,13.0
DAJ Bracewell,30.0,1.0
AF Milne,55.0,4.0
SMSM Senanayake,32.0,5.0
JDF Vandersay,7.0,1.0
BAW Mendis,7.0,3.0
RAS Lakmal,18.0,4.0
BB McCullum,512.0,18.0
GD Elliott,274.0,10.0
CJ Anderson,285.0,7.0
KC Sangakkara,990.0,22.0
DPMD Jayawardene,656.0,20.0
FDM Karunaratne,87.0,7.0
BMAJ Mendis,60.0,5.0
HMRKB Herath,41.0,6.0
DL Vettori,134.0,11.0
KD Mills,62.0,5.0
MJ McClenaghan,6.0,2.0
KTGD Prasad,2.0,1.0
NL McCullum,224.0,12.0
TA Boult,13.0,1.0
RMS Eranga,5.0,2.0
AP Devcich,6.0,2.0
RJ Nicol,65.0,5.0
JEC Franklin,206.0,9.0
BJ Watling,221.0,4.0
AM Ellis,4.0,2.0
WU Tharanga,263.0,10.0
JDP Oram,67.0,6.0
JD Ryder,112.0,4.0
SB Styris,235.0,5.0
AJ McKay,4.0,2.0
TT Samaraweera,185.0,5.0
LPC Silva,64.0,5.0
M Muralitharan,15.0,2.0
HK Bennett,0.0,1.0
GJ Hopkins,11.0,1.0
DR Tuffey,2.0,2.0
NT Broom,15.0,1.0
ST Jayasuriya,166.0,6.0
SHT Kandamby,26.0,2.0
T Thushara,17.0,2.0
IG Butler,25.0,1.0
SE Bond,5.0,3.0
RP Arnold,14.0,1.0
PG Fulton,126.0,4.0
SP Fleming,1.0,3.0
CD McMillan,55.0,3.0
JS Patel,40.0,2.0
MS Atapattu,62.0,2.0
MF Maharoof,34.0,2.0
WPUJC Vaas,5.0,1.0
HJH Marshall,7.0,2.0
AR Adams,1.0,1.0
MR Gillespie,0.0,1.0
MJ Mason,1.0,1.0
CRD Fernando,8.0,1.0
PDRL Perera,0.0,1.0
NJ Astle,0.0,1.0
JAH Marshall,5.0,1.0
