name,score,freq
WIA Fernando,71.0,4.0
WU Tharanga,593.0,23.0
BOP Fernando,127.0,5.0
BKG Mendis,415.0,16.0
AK Perera,32.0,2.0
PARP Perera,33.0,2.0
NLTC Perera,384.0,17.0
DM de Silva,273.0,12.0
I Udana,110.0,3.0
A Dananjaya,70.0,8.0
SL Malinga,29.0,14.0
Q de Kock,1104.0,23.0
AK Markram,119.0,5.0
F du Plessis,1070.0,25.0
HE van der Dussen,112.0,4.0
PHKD Mendis,17.0,2.0
CAK Rajitha,0.0,2.0
RR Hendricks,146.0,7.0
DA Miller,477.0,17.0
JP Duminy,709.0,25.0
D Pretorius,31.0,1.0
AL Phehlukwayo,83.0,6.0
N Dickwella,412.0,14.0
PWA Mulder,58.0,6.0
K Rabada,15.0,2.0
A Nortje,8.0,1.0
L Ngidi,7.0,2.0
Imran Tahir,1.0,2.0
MDKJ Perera,354.0,13.0
MVT Fernando,3.0,2.0
PADLR Sandakan,11.0,6.0
AD Mathews,481.0,17.0
MD Shanaka,86.0,2.0
HM Amla,1063.0,20.0
H Klaasen,20.0,2.0
KA Maharaj,25.0,2.0
CJ Dala,8.0,2.0
RAS Lakmal,49.0,8.0
NGRP Jayasuriya,11.0,2.0
CBRLS Kumara,16.0,4.0
GSNFG Jayasuriya,18.0,2.0
AB de Villiers,877.0,21.0
CH Morris,58.0,4.0
WD Parnell,32.0,5.0
LD Chandimal,358.0,12.0
CK Kapugedera,0.0,1.0
DAS Gunaratne,186.0,6.0
S Prasanna,13.0,1.0
N Pradeep,5.0,1.0
F Behardien,71.0,5.0
DS Weerakkody,73.0,3.0
SS Pathirana,101.0,4.0
LD Madushanka,13.0,3.0
JDF Vandersay,15.0,2.0
KMDN Kulasekara,101.0,11.0
PC de Silva,14.0,1.0
TM Dilshan,754.0,16.0
KC Sangakkara,809.0,16.0
HDRL Thirimanne,295.0,10.0
DPMD Jayawardene,284.0,13.0
PHT Kaushal,0.0,1.0
PVD Chameera,2.0,1.0
JH Kallis,241.0,7.0
R McLaren,88.0,7.0
SMA Priyanjan,60.0,3.0
SMSM Senanayake,34.0,4.0
HMRKB Herath,28.0,5.0
BAW Mendis,5.0,5.0
VD Philander,3.0,2.0
DW Steyn,24.0,2.0
M Morkel,1.0,5.0
AM Phangiso,18.0,2.0
LL Tsotsobe,4.0,2.0
RJ Peterson,79.0,7.0
RK Kleinveldt,8.0,1.0
AN Petersen,121.0,6.0
J Mubarak,8.0,1.0
RMS Eranga,7.0,1.0
CA Ingram,14.0,3.0
GC Smith,346.0,7.0
JA Morkel,91.0,5.0
CKB Kulasekara,38.0,2.0
CRD Fernando,0.0,1.0
ST Jayasuriya,36.0,2.0
TT Samaraweera,37.0,1.0
SHT Kandamby,6.0,1.0
M Muralitharan,1.0,2.0
MV Boucher,26.0,2.0
J Botha,21.0,1.0
RE van der Merwe,3.0,1.0
LPC Silva,9.0,1.0
RP Arnold,50.0,1.0
MF Maharoof,5.0,1.0
WPUJC Vaas,0.0,1.0
HH Gibbs,31.0,1.0
JM Kemp,5.0,1.0
SM Pollock,13.0,1.0
AJ Hall,0.0,1.0
M Ntini,0.0,1.0
CK Langeveldt,1.0,1.0
