name,score,freq
WIA Fernando,310.0,4.0
FDM Karunaratne,129.0,4.0
MDKJ Perera,324.0,9.0
BKG Mendis,331.0,6.0
NLTC Perera,112.0,4.0
AD Mathews,205.0,9.0
DM de Silva,148.0,6.0
PWH de Silva,75.0,3.0
I Udana,22.0,4.0
SD Hope,315.0,6.0
SW Ambris,85.0,4.0
DM Bravo,341.0,10.0
RL Chase,61.0,3.0
N Pooran,210.0,4.0
KA Pollard,62.0,6.0
JO Holder,151.0,9.0
KMA Paul,53.0,2.0
FA Allen,105.0,3.0
AS Joseph,0.0,2.0
SS Cottrell,8.0,3.0
HR Walsh,22.0,2.0
PADLR Sandakan,3.0,2.0
N Pradeep,0.0,3.0
HDRL Thirimanne,193.0,6.0
CH Gayle,259.0,8.0
SO Hetmyer,29.0,1.0
CR Brathwaite,85.0,6.0
O Thomas,1.0,1.0
ST Gabriel,3.0,3.0
N Dickwella,122.0,2.0
GSNFG Jayasuriya,51.0,4.0
WU Tharanga,268.0,9.0
DAS Gunaratne,24.0,2.0
SS Pathirana,69.0,2.0
J Charles,159.0,7.0
E Lewis,175.0,2.0
KC Brathwaite,30.0,2.0
JL Carter,79.0,5.0
R Powell,54.0,2.0
AR Nurse,7.0,2.0
SJ Benn,24.0,4.0
KMDN Kulasekara,33.0,4.0
RAS Lakmal,1.0,2.0
ADS Fletcher,9.0,3.0
J Blackwood,11.0,2.0
MN Samuels,247.0,8.0
D Ramdin,15.0,3.0
SP Narine,9.0,2.0
R Rampaul,4.0,4.0
TM Dilshan,179.0,7.0
LD Chandimal,61.0,4.0
TAM Siriwardana,24.0,2.0
JN Mohammed,4.0,1.0
JE Taylor,23.0,3.0
AD Russell,41.0,1.0
MD Gunathilaka,12.0,1.0
SMSM Senanayake,14.0,2.0
BAW Mendis,31.0,3.0
SL Malinga,8.0,2.0
DPMD Jayawardene,238.0,7.0
KC Sangakkara,260.0,7.0
BMAJ Mendis,13.0,2.0
DS Smith,14.0,2.0
LMP Simmons,67.0,1.0
DJG Sammy,11.0,4.0
KAJ Roach,17.0,2.0
TL Best,5.0,1.0
HMRKB Herath,6.0,2.0
DJ Bravo,138.0,6.0
CK Kapugedera,112.0,2.0
TT Samaraweera,4.0,1.0
AB Barath,12.0,2.0
RR Sarwan,152.0,5.0
S Chanderpaul,193.0,4.0
CS Baugh,77.0,2.0
NO Miller,13.0,2.0
ML Udawatte,14.0,2.0
K Weeraratne,15.0,1.0
LPC Silva,92.0,3.0
WPUJC Vaas,10.0,1.0
PA Browne,15.0,1.0
FH Edwards,2.0,1.0
ST Jayasuriya,115.0,1.0
RP Arnold,4.0,1.0
BC Lara,2.0,1.0
DR Smith,0.0,1.0
IDR Bradshaw,6.0,1.0
DBL Powell,2.0,1.0
CRD Fernando,0.0,0.0
M Muralitharan,0.0,0.0
