Player,Score,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0
N Pooran,54.49384802045075,2019-2020,25,23,4,932,118,49.05,875,106.51,1,7,1
FA Allen,43.82042491818557,2018-2020,14,12,3,143,51,15.88,130,110.00,0,1,1
O Thomas,7.4444201923319735,2018-2020,20,10,5,13,6,2.60,53,24.52,0,0,3
KMA Paul,32.28417428837652,2018-2020,19,13,4,214,46,23.77,238,89.91,0,0,1
SO Hetmyer,51.70066525106573,2017-2020,45,42,3,1430,139,36.66,1338,106.87,5,4,2
SW Ambris,48.87239356654304,2017-2020,13,12,2,447,148,44.70,460,97.17,1,2,0
RL Chase,29.448012243047355,2017-2020,30,23,3,520,94,26.00,679,76.58,0,2,3
SD Hope,44.90041946313639,2016-2020,78,73,10,3289,170,52.20,4422,74.37,9,17,4
E Lewis,41.606796664493764,2016-2020,51,48,3,1610,176,35.77,1919,83.89,3,8,2
AS Joseph,22.981104903688994,2016-2020,28,13,7,121,29,20.16,157,77.07,0,0,2
SS Cottrell,21.92349113523782,2015-2020,35,17,10,84,17,12.00,112,75.00,0,0,1
JO Holder,37.04525867403645,2013-2020,115,92,19,1821,99,24.94,1931,94.30,0,9,9
DM Bravo,34.87105135866801,2009-2020,113,108,13,2902,124,30.54,4132,70.23,3,18,8
KA Pollard,41.11777584288196,2007-2020,113,104,8,2496,119,26.00,2637,94.65,3,10,14
